param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
10,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005
20,0.015,0.,0.015,0.015,0.,0.015,0.017,0.,0.017
30,0.037,0.,0.037,0.046,0.,0.046,0.038,0.,0.038
40,0.068,0.,0.068,0.068,0.,0.068,0.082,0.,0.082
50,0.121,0.,0.121,0.155,0.003,0.151,0.131,0.003,0.127
60,0.229,0.,0.229,0.299,0.,0.299,0.213,0.,0.212
70,0.319,0.,0.319,0.408,0.,0.408,0.315,0.,0.315
80,0.435,0.,0.435,0.537,0.,0.537,0.447,0.,0.447
90,0.562,0.,0.562,0.591,0.,0.591,0.584,0.,0.584
100,0.962,0.,0.962,0.989,0.,0.989,0.951,0.,0.951
110,1.017,0.,1.017,1.023,0.,1.023,1.013,0.,1.013
120,1.317,0.,1.317,1.321,0.,1.321,1.306,0.,1.306
130,1.662,0.,1.662,1.631,0.,1.631,1.636,0.,1.636
140,2.05,0.,2.05,2.078,0.,2.078,2.089,0.,2.089
150,2.727,0.003,2.719,2.571,0.,2.57,2.613,0.,2.613
160,3.193,0.,3.192,3.069,0.,3.069,3.073,0.003,3.069
170,3.868,0.,3.868,3.89,0.,3.89,3.921,0.,3.921
180,4.5,0.,4.5,4.632,0.,4.631,4.565,0.,4.564
190,5.395,0.,5.395,5.259,0.,5.258,5.3,0.003,5.296
200,6.099,0.,6.097,6.143,0.,6.143,6.22,0.007,6.211
