param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
2,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003
3,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004
4,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005
5,0.006,0.,0.006,0.006,0.,0.006,0.007,0.,0.007
6,0.006,0.,0.006,0.007,0.,0.006,0.008,0.,0.008
7,0.009,0.,0.009,0.009,0.,0.009,0.01,0.,0.009
8,0.01,0.,0.01,0.011,0.,0.011,0.011,0.,0.011
9,0.012,0.,0.012,0.013,0.,0.013,0.013,0.,0.013
10,0.02,0.,0.02,0.017,0.,0.017,0.014,0.,0.014
11,0.018,0.,0.018,0.019,0.,0.019,0.019,0.,0.019
12,0.028,0.,0.028,0.024,0.,0.024,0.036,0.,0.036
13,0.026,0.,0.026,0.027,0.,0.027,0.022,0.,0.022
14,,,,0.046,0.,0.046,0.025,0.,0.025
15,0.055,0.,0.055,0.054,0.003,0.051,0.042,0.,0.042
16,,,,,,,0.031,0.,0.031
17,,,,,,,0.034,0.,0.034
18,,,,,,,0.037,0.,0.037
19,,,,,,,0.038,0.,0.038
20,0.086,0.,0.086,,,,0.059,0.,0.059
21,,,,,,,0.046,0.,0.046
22,,,,0.114,0.,0.114,0.05,0.,0.05
23,,,,,,,0.054,0.,0.054
24,,,,,,,0.06,0.,0.06
25,,,,,,,0.157,0.,0.157
26,0.172,0.,0.172,,,,0.069,0.,0.069
27,,,,,,,0.104,0.,0.104
28,,,,,,,0.082,0.,0.082
29,,,,,,,0.086,0.,0.086
30,,,,0.276,0.,0.276,0.089,0.,0.089
31,,,,,,,0.118,0.,0.118
32,,,,,,,0.106,0.003,0.103
33,0.461,0.,0.461,,,,0.231,0.,0.231
34,,,,,,,0.134,0.,0.134
35,,,,,,,0.163,0.,0.163
36,,,,,,,0.133,0.,0.133
37,,,,0.643,0.,0.642,0.163,0.,0.163
38,,,,,,,0.173,0.,0.173
39,0.658,0.,0.658,,,,0.276,0.003,0.271
40,,,,,,,0.204,0.,0.204
41,,,,,,,0.185,0.,0.185
42,,,,,,,0.228,0.,0.228
43,,,,,,,0.229,0.004,0.225
44,,,,,,,0.223,0.,0.223
45,,,,1.207,0.,1.207,0.239,0.,0.239
46,1.352,0.,1.352,,,,0.245,0.,0.245
47,,,,,,,0.247,0.,0.247
48,,,,,,,0.276,0.,0.276
49,,,,,,,0.299,0.,0.299
50,,,,,,,0.311,0.,0.311
51,,,,,,,0.318,0.,0.318
52,1.687,0.,1.687,,,,,,
53,,,,1.996,0.003,1.993,0.356,0.,0.356
54,,,,,,,0.372,0.,0.372
55,,,,,,,0.384,0.,0.384
56,,,,,,,0.4,0.,0.4
58,,,,,,,0.42,0.,0.42
59,,,,,,,0.453,0.,0.453
60,,,,,,,0.466,0.,0.466
61,,,,,,,0.48,0.,0.48
62,3.135,0.,3.135,,,,,,
63,,,,3.394,0.007,3.386,0.541,0.,0.541
64,,,,,,,0.667,0.,0.667
65,,,,,,,0.573,0.003,0.569
66,,,,,,,0.589,0.004,0.585
68,,,,,,,0.636,0.,0.636
69,,,,,,,0.639,0.,0.639
70,,,,,,,0.674,0.,0.674
71,,,,,,,0.713,0.,0.713
73,5.9,0.,5.898,,,,0.746,0.,0.746
74,,,,6.346,0.,6.346,0.766,0.004,0.761
75,,,,,,,0.798,0.003,0.794
78,,,,,,,0.913,0.,0.913
80,,,,,,,0.97,0.,0.97
83,9.705,0.001,9.702,,,,1.08,0.,1.08
84,,,,10.061,0.,10.06,,,
85,,,,,,,1.3,0.,1.3
88,,,,,,,1.272,0.003,1.268
90,,,,,,,1.359,0.007,1.351
93,,,,,,,1.468,0.,1.468
94,16.146,0.012,16.133,,,,,,
95,,,,16.375,0.024,16.347,1.539,0.,1.539
98,,,,,,,1.626,0.003,1.622
100,,,,,,,1.712,0.,1.712
104,23.782,0.011,23.768,,,,,,
105,,,,24.26,0.012,24.246,,,
106,,,,,,,2.24,0.,2.24
120,,,,,,,2.862,0.,2.859
140,,,,,,,4.287,0.,4.286
159,,,,,,,6.299,0.,6.299
179,,,,,,,8.765,0.003,8.76
199,,,,,,,11.561,0.,11.559
