Params: 0-n= 131071 , 1-lgn= 16
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.111 secs (0.103u,0.007s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.162 secs (0.162u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.051 secs (0.051u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.07 secs (0.07u,0.s) (success)
Params: 0-n= 262143 , 1-lgn= 17
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.167 secs (0.167u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.271 secs (0.271u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.112 secs (0.112u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.116 secs (0.116u,0.s) (success)
Params: 0-n= 524287 , 1-lgn= 18
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.403 secs (0.391u,0.012s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.22 secs (0.22u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.232 secs (0.232u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.241 secs (0.241u,0.s) (success)
Params: 0-n= 1048575 , 1-lgn= 19
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.765 secs (0.757u,0.008s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.467 secs (0.467u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.458 secs (0.458u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.464 secs (0.464u,0.s) (success)
Params: 0-n= 2097151 , 1-lgn= 20
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 1.412 secs (1.412u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.899 secs (0.899u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.905 secs (0.905u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.908 secs (0.908u,0.s) (success)
Params: 0-n= 4194303 , 1-lgn= 21
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 2.302 secs (2.302u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 1.9 secs (1.9u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 1.882 secs (1.882u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 1.907 secs (1.906u,0.s) (success)
Params: 0-n= 8388607 , 1-lgn= 22
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 4.107 secs (4.106u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 3.77 secs (3.77u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 3.777 secs (3.777u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 3.697 secs (3.697u,0.s) (success)
