param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.055,0.011,0.043,0.,0.,0.,0.,0.,0.,0.093,0.,0.005,0.088,0.001,0.003,0.055,0.003,0.051,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.09,0.004,0.,0.089,0.,0.004,0.003,0.,0.003,0.,0.,0.
4,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.097,0.001,0.003,0.094,0.004,0.,0.007,0.,0.007,0.,0.,0.
5,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.097,0.004,0.,0.09,0.,0.005,0.011,0.,0.011,0.,0.,0.
6,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.092,0.,0.004,0.091,0.,0.005,0.02,0.,0.02,0.,0.,0.
7,0.027,0.,0.027,0.,0.,0.,0.,0.,0.,0.09,0.003,0.,0.089,0.,0.004,0.045,0.,0.044,0.,0.,0.
8,0.052,0.,0.052,0.,0.,0.,0.,0.,0.,0.09,0.003,0.001,0.095,0.003,0.001,0.037,0.,0.037,0.,0.,0.
9,0.05,0.,0.05,0.,0.,0.,0.,0.,0.,0.091,0.004,0.,0.091,0.004,0.,0.047,0.,0.047,0.,0.,0.
10,0.066,0.,0.066,0.,0.,0.,0.,0.,0.,0.097,0.,0.004,0.087,0.003,0.001,0.087,0.,0.087,0.,0.,0.
11,0.148,0.004,0.144,0.,0.,0.,,,,,,,,,,0.139,0.007,0.131,,,
12,0.164,0.003,0.161,,,,0.,0.,0.,,,,,,,0.094,0.,0.094,,,
13,0.115,0.,0.115,,,,,,,,,,,,,0.264,0.,0.264,,,
14,0.306,0.,0.306,,,,,,,,,,,,,0.223,0.008,0.215,,,
15,0.208,0.,0.208,,,,,,,,,,,,,0.193,0.,0.193,,,
16,0.207,0.,0.207,,,,,,,,,,,,,0.216,0.,0.216,,,
17,,,,,,,,,,,,,,,,0.371,0.,0.371,,,
18,0.432,0.,0.432,,,,0.,0.,0.,,,,,,,0.441,0.,0.44,,,
19,0.314,0.003,0.31,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.391,0.,0.391,,,
22,0.618,0.,0.617,,,,,,,,,,,,,0.643,0.,0.643,,,
23,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.737,0.,0.737,,,
25,0.774,0.,0.774,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.778,0.003,0.774,,,
28,0.919,0.,0.919,0.001,0.,0.001,0.001,0.,0.001,,,,,,,0.824,0.,0.824,,,
30,0.975,0.,0.975,,,,,,,,,,,,,1.029,0.,1.028,,,
32,,,,,,,,,,,,,,,,1.176,0.,1.176,,,
33,1.181,0.,1.181,,,,0.002,0.,0.002,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,1.397,0.,1.397,,,
36,1.461,0.,1.461,0.001,0.,0.001,,,,,,,,,,,,,,,
39,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,2.201,0.,2.201,0.,0.,0.
43,2.426,0.003,2.422,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
45,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,3.208,0.,3.208,,,
49,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
50,3.48,0.,3.48,,,,,,,,,,,,,,,,,,
53,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
54,,,,,,,0.004,0.,0.004,,,,,,,4.616,0.003,4.612,,,
56,4.657,0.,4.657,,,,,,,,,,,,,,,,,,
59,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,6.2,0.,6.199,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,
63,6.786,0.,6.785,,,,,,,,,,,,,,,,,,
65,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,8.423,0.003,8.419,,,
70,8.872,0.003,8.867,,,,0.006,0.,0.006,,,,,,,,,,,,
71,,,,0.004,0.,0.004,,,,,,,,,,,,,,,
75,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
79,,,,0.005,0.,0.005,,,,,,,,,,,,,,,
80,,,,,,,0.024,0.,0.024,,,,,,,,,,0.,0.,0.
86,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
88,,,,0.006,0.,0.006,,,,,,,,,,,,,,,
91,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
96,,,,0.007,0.,0.007,0.009,0.,0.009,,,,,,,,,,,,
101,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
105,,,,0.007,0.,0.007,,,,,,,,,,,,,,,
106,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
112,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
113,,,,0.024,0.,0.024,,,,,,,,,,,,,,,
116,,,,,,,,,,0.154,0.,0.005,0.149,0.004,0.001,,,,,,
117,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.01,0.,0.01,0.014,0.,0.014,,,,,,,,,,,,
127,,,,,,,0.039,0.,0.039,,,,,,,,,,,,
130,,,,0.01,0.,0.01,,,,,,,,,,,,,,,
133,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
138,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
139,,,,0.013,0.,0.013,,,,,,,,,,,,,,,
143,,,,,,,0.151,0.,0.151,,,,,,,,,,,,
148,,,,0.013,0.,0.013,0.018,0.,0.018,,,,,,,,,,,,
153,,,,,,,0.022,0.,0.022,,,,,,,,,,,,
156,,,,0.014,0.,0.014,,,,,,,,,,,,,,,
159,,,,,,,0.024,0.,0.024,,,,,,,,,,0.001,0.,0.001
164,,,,,,,0.046,0.,0.046,,,,,,,,,,,,
165,,,,0.016,0.,0.016,,,,,,,,,,,,,,,
169,,,,,,,0.024,0.,0.024,,,,,,,,,,,,
