param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.002,0.,0.002
2,0.,0.,0.,0.003,0.,0.003
3,0.001,0.,0.001,0.007,0.,0.007
4,0.001,0.,0.001,0.007,0.,0.007
5,0.001,0.,0.001,0.01,0.,0.01
6,0.001,0.,0.001,0.011,0.,0.011
7,0.001,0.,0.001,0.014,0.,0.014
8,0.001,0.,0.001,0.018,0.,0.018
9,0.001,0.,0.001,0.018,0.,0.018
10,0.001,0.,0.001,0.022,0.,0.022
11,0.001,0.,0.001,0.039,0.003,0.035
12,0.001,0.,0.001,0.027,0.,0.027
13,0.014,0.,0.014,0.032,0.,0.032
14,0.001,0.,0.001,0.032,0.,0.032
15,0.002,0.,0.002,0.035,0.,0.035
16,0.002,0.,0.002,0.039,0.,0.039
17,0.019,0.,0.019,0.044,0.,0.044
18,0.003,0.,0.003,0.047,0.,0.047
19,0.002,0.,0.002,0.052,0.,0.052
20,0.002,0.,0.002,0.06,0.,0.06
21,0.002,0.,0.002,0.061,0.,0.061
22,0.003,0.,0.003,0.157,0.,0.157
23,0.002,0.,0.002,0.073,0.,0.073
24,0.002,0.,0.002,0.105,0.,0.105
25,0.002,0.,0.002,0.083,0.,0.083
26,0.002,0.,0.002,0.089,0.,0.089
27,0.002,0.,0.002,0.108,0.,0.108
28,0.002,0.,0.002,0.1,0.,0.1
29,0.003,0.,0.003,0.129,0.,0.129
30,0.003,0.,0.003,0.208,0.,0.208
31,0.006,0.,0.006,0.152,0.,0.152
32,0.003,0.,0.003,0.132,0.,0.132
33,0.003,0.,0.003,0.159,0.,0.159
34,0.004,0.,0.004,0.168,0.,0.168
35,0.003,0.,0.003,0.258,0.003,0.254
36,0.003,0.,0.003,0.197,0.,0.197
37,0.003,0.,0.003,0.178,0.,0.178
38,0.004,0.,0.004,0.204,0.,0.204
39,0.003,0.,0.003,0.283,0.,0.283
40,0.003,0.,0.003,0.215,0.,0.215
41,0.004,0.,0.004,0.236,0.,0.236
42,0.003,0.,0.003,0.22,0.,0.22
43,0.003,0.,0.003,0.233,0.,0.233
44,0.003,0.,0.003,0.242,0.,0.242
45,0.004,0.,0.004,0.25,0.003,0.246
46,0.004,0.,0.004,0.26,0.,0.26
47,0.007,0.,0.007,0.278,0.003,0.274
48,0.004,0.,0.004,0.296,0.,0.296
49,0.004,0.,0.004,0.302,0.,0.302
50,0.004,0.,0.004,0.317,0.,0.317
51,0.005,0.,0.005,0.325,0.,0.325
52,0.006,0.,0.006,0.362,0.,0.362
53,0.005,0.,0.005,0.368,0.,0.368
54,0.004,0.,0.004,0.392,0.,0.392
55,0.005,0.,0.005,0.398,0.003,0.394
56,0.017,0.,0.017,0.447,0.012,0.435
57,0.005,0.,0.005,0.436,0.,0.436
58,0.005,0.,0.005,0.437,0.,0.436
59,0.005,0.,0.005,0.446,0.012,0.434
60,0.005,0.,0.005,0.477,0.,0.477
61,0.006,0.,0.006,0.486,0.,0.485
62,0.005,0.,0.005,0.505,0.,0.505
63,0.006,0.,0.006,0.522,0.,0.522
64,0.007,0.,0.007,0.569,0.,0.569
65,0.006,0.,0.006,0.557,0.011,0.545
66,0.006,0.,0.006,0.592,0.,0.592
67,0.006,0.,0.006,0.6,0.,0.6
68,0.006,0.,0.006,0.605,0.,0.605
69,0.006,0.,0.006,0.631,0.003,0.627
70,0.014,0.,0.014,0.645,0.,0.645
71,0.006,0.,0.006,0.683,0.003,0.679
72,0.007,0.,0.007,0.691,0.,0.691
73,0.006,0.,0.006,0.726,0.,0.726
74,0.007,0.,0.007,0.763,0.,0.763
75,0.006,0.,0.006,0.757,0.,0.757
76,0.006,0.,0.006,0.772,0.,0.772
77,0.007,0.,0.007,0.792,0.,0.792
78,0.006,0.,0.006,0.828,0.,0.828
79,0.006,0.,0.006,0.86,0.,0.86
80,0.006,0.,0.006,0.859,0.,0.859
81,0.008,0.,0.008,0.926,0.,0.926
82,0.007,0.,0.007,0.959,0.003,0.955
83,0.007,0.,0.007,0.966,0.,0.966
84,0.006,0.,0.006,0.963,0.,0.962
85,0.007,0.,0.007,1.003,0.,1.003
86,0.007,0.,0.007,1.03,0.,1.03
87,0.008,0.,0.008,1.071,0.,1.071
88,0.007,0.,0.007,1.167,0.,1.167
89,0.008,0.,0.008,1.129,0.,1.129
90,0.007,0.,0.007,1.15,0.,1.15
91,0.007,0.,0.007,1.184,0.,1.184
92,0.008,0.,0.008,1.234,0.,1.234
93,0.008,0.,0.008,1.311,0.,1.311
94,0.008,0.,0.008,1.319,0.,1.318
95,0.007,0.,0.007,1.323,0.,1.322
96,0.008,0.,0.008,1.357,0.,1.357
97,0.009,0.,0.009,1.398,0.,1.397
98,0.008,0.,0.008,1.447,0.,1.447
99,0.009,0.,0.009,1.443,0.,1.443
100,0.009,0.,0.009,1.563,0.,1.563
110,0.01,0.,0.01,2.485,0.012,2.472
120,0.01,0.,0.01,2.341,0.003,2.337
130,0.01,0.,0.01,2.902,0.019,2.881
140,0.013,0.,0.013,3.415,0.,3.415
150,0.013,0.,0.013,4.038,0.004,4.034
160,0.015,0.,0.015,4.693,0.015,4.677
170,0.013,0.,0.013,5.504,0.,5.503
180,0.015,0.,0.015,6.62,0.,6.619
190,0.016,0.,0.016,7.556,0.008,7.544
200,0.018,0.,0.018,8.331,0.003,8.326
210,0.018,0.,0.018,9.579,0.011,9.566
220,0.019,0.,0.019,10.97,0.004,10.964
230,0.018,0.,0.018,12.662,0.007,12.653
240,0.019,0.,0.019,13.83,0.012,13.816
250,0.02,0.,0.02,15.918,0.007,15.905
260,0.021,0.,0.021,17.539,0.004,17.533
270,0.022,0.,0.022,19.594,0.004,19.588
280,0.026,0.,0.026,21.474,0.012,21.457
290,0.03,0.,0.03,23.084,0.044,23.033
300,0.024,0.,0.024,25.317,0.008,25.307
350,0.035,0.,0.035,39.861,0.,39.859
400,0.035,0.,0.035,61.639,0.084,61.551
450,0.053,0.,0.053,86.619,0.039,86.574
500,0.046,0.,0.046,118.932,0.088,118.836
