param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.113,0.004,0.001,0.11,0.003,0.001,0.001,0.,0.,0.,0.,0.
3,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.111,0.005,0.,0.111,0.002,0.002,0.002,0.,0.002,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.111,0.,0.004,0.113,0.004,0.001,0.004,0.,0.004,0.,0.,0.
5,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.111,0.003,0.001,0.115,0.004,0.001,0.006,0.,0.006,0.,0.,0.
6,0.013,0.,0.012,0.,0.,0.,0.,0.,0.,0.112,0.004,0.001,0.112,0.004,0.001,0.011,0.,0.011,0.,0.,0.
7,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.111,0.,0.005,0.113,0.003,0.002,0.058,0.,0.058,0.,0.,0.
8,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.113,0.004,0.001,0.111,0.004,0.001,0.022,0.,0.022,0.,0.,0.
9,0.07,0.,0.07,0.,0.,0.,0.,0.,0.,0.111,0.003,0.001,0.112,0.,0.005,0.03,0.,0.03,0.,0.,0.
10,0.043,0.,0.043,0.,0.,0.,0.,0.,0.,0.113,0.003,0.001,0.112,0.004,0.001,0.04,0.,0.04,0.,0.,0.
11,0.052,0.,0.052,0.,0.,0.,,,,,,,,,,0.093,0.,0.093,,,
12,0.062,0.,0.062,,,,0.,0.,0.,,,,,,,0.061,0.,0.061,,,
13,0.119,0.,0.119,,,,,,,,,,,,,0.074,0.,0.074,,,
14,0.096,0.,0.096,,,,,,,,,,,,,0.134,0.,0.134,,,
15,0.16,0.,0.16,,,,,,,,,,,,,0.111,0.,0.111,,,
16,0.125,0.,0.125,,,,,,,,,,,,,0.126,0.,0.126,,,
17,,,,,,,,,,,,,,,,0.143,0.,0.143,,,
18,0.174,0.,0.174,,,,0.,0.,0.,,,,,,,0.174,0.,0.174,,,
19,0.197,0.,0.197,0.,0.,0.,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,0.218,0.,0.218,,,
22,0.295,0.,0.295,,,,,,,,,,,,,0.294,0.,0.294,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,0.344,0.,0.344,,,
25,0.381,0.,0.381,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,0.425,0.,0.425,,,
