param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.001,0.,0.001
3,0.,0.,0.,0.002,0.,0.002
4,0.,0.,0.,0.004,0.,0.004
5,0.,0.,0.,0.005,0.,0.005
6,0.,0.,0.,0.053,0.002,0.05
7,0.,0.,0.,0.006,0.,0.006
8,0.,0.,0.,0.007,0.,0.007
9,0.,0.,0.,0.009,0.,0.009
10,0.,0.,0.,0.01,0.,0.01
11,0.,0.,0.,0.012,0.,0.012
12,0.,0.,0.,0.015,0.,0.015
13,0.,0.,0.,0.016,0.,0.016
14,0.,0.,0.,0.018,0.,0.018
15,0.,0.,0.,0.022,0.,0.022
16,0.,0.,0.,0.023,0.,0.023
17,0.,0.,0.,0.026,0.,0.026
18,0.,0.,0.,0.028,0.,0.028
19,0.,0.,0.,0.034,0.,0.034
20,0.,0.,0.,0.036,0.,0.036
21,0.,0.,0.,0.039,0.,0.039
22,0.,0.,0.,0.047,0.,0.047
23,0.,0.,0.,0.048,0.,0.048
24,0.,0.,0.,0.054,0.,0.054
25,0.,0.,0.,0.057,0.,0.057
26,0.,0.,0.,0.062,0.,0.062
27,0.,0.,0.,0.067,0.,0.067
28,0.,0.,0.,0.077,0.,0.077
29,0.,0.,0.,0.083,0.,0.083
30,0.,0.,0.,0.088,0.,0.087
31,0.,0.,0.,0.093,0.,0.093
32,0.,0.,0.,0.105,0.,0.105
33,0.,0.,0.,0.115,0.,0.114
34,0.,0.,0.,0.124,0.,0.124
35,0.,0.,0.,0.131,0.,0.13
36,0.,0.,0.,0.141,0.,0.141
37,0.,0.,0.,0.151,0.,0.151
38,0.,0.,0.,0.164,0.,0.163
39,0.,0.,0.,0.167,0.,0.167
40,0.,0.,0.,0.183,0.001,0.181
41,0.,0.,0.,0.191,0.,0.191
42,0.001,0.,0.001,0.198,0.,0.198
43,0.001,0.,0.001,0.213,0.,0.212
44,0.001,0.,0.001,0.225,0.,0.225
45,0.001,0.,0.001,0.239,0.,0.239
46,0.001,0.,0.001,0.253,0.,0.252
47,0.001,0.,0.001,0.269,0.,0.269
48,0.001,0.,0.001,0.285,0.,0.284
49,0.001,0.,0.001,0.3,0.,0.3
50,0.001,0.,0.001,0.319,0.,0.319
51,0.001,0.,0.001,0.344,0.,0.344
52,0.001,0.,0.001,0.369,0.,0.369
53,0.001,0.,0.001,0.383,0.,0.382
54,0.001,0.,0.001,0.409,0.,0.408
55,0.001,0.,0.001,0.431,0.,0.43
56,0.001,0.,0.001,0.448,0.,0.448
57,0.001,0.,0.001,0.459,0.,0.458
58,0.001,0.,0.001,0.481,0.,0.481
59,0.001,0.,0.001,0.502,0.,0.501
60,0.001,0.,0.001,0.534,0.001,0.533
61,0.001,0.,0.001,0.557,0.,0.557
62,0.001,0.,0.001,0.584,0.,0.584
63,0.001,0.,0.001,0.618,0.,0.617
64,0.001,0.,0.001,0.657,0.,0.657
65,0.001,0.,0.001,0.691,0.,0.69
66,0.001,0.,0.001,0.726,0.,0.726
67,0.001,0.,0.001,0.752,0.,0.752
68,0.001,0.,0.001,0.776,0.,0.776
69,0.001,0.,0.001,0.81,0.,0.81
70,0.001,0.,0.001,0.843,0.,0.843
71,0.001,0.,0.,0.877,0.,0.877
72,0.001,0.,0.001,0.92,0.,0.919
73,0.001,0.,0.001,0.955,0.,0.955
74,0.001,0.,0.001,1.014,0.,1.014
75,0.001,0.,0.001,1.067,0.,1.067
76,0.005,0.,0.005,1.117,0.,1.117
77,0.001,0.,0.001,1.143,0.,1.143
78,0.002,0.,0.002,1.178,0.,1.178
79,0.001,0.,0.001,1.228,0.,1.228
80,0.001,0.,0.001,1.279,0.,1.279
81,0.001,0.,0.001,1.312,0.,1.312
82,0.001,0.,0.001,1.357,0.,1.357
83,0.001,0.,0.001,1.409,0.,1.408
84,0.002,0.,0.002,1.464,0.,1.464
85,0.001,0.,0.001,1.503,0.,1.503
86,0.001,0.,0.001,1.605,0.,1.605
87,0.001,0.,0.001,1.666,0.,1.666
88,0.002,0.,0.002,1.736,0.,1.736
89,0.002,0.,0.002,1.828,0.,1.828
90,0.002,0.,0.002,1.889,0.,1.889
91,0.002,0.,0.002,1.918,0.,1.918
92,0.002,0.,0.001,1.997,0.,1.997
93,0.002,0.,0.002,2.071,0.,2.071
94,0.002,0.,0.002,2.175,0.,2.175
95,0.002,0.,0.002,2.249,0.001,2.248
96,0.002,0.,0.002,2.284,0.001,2.283
97,0.002,0.,0.002,2.362,0.,2.362
98,0.002,0.,0.002,2.485,0.,2.485
99,0.002,0.,0.002,2.587,0.,2.587
100,0.002,0.,0.001,2.602,0.,2.601
110,0.002,0.,0.002,3.576,0.013,3.562
120,0.002,0.,0.002,4.627,0.005,4.621
130,0.002,0.,0.002,6.168,0.002,6.165
140,0.002,0.,0.002,7.895,0.,7.894
150,0.003,0.,0.003,10.002,0.,10.
160,0.003,0.,0.003,12.558,0.005,12.551
170,0.003,0.,0.003,15.458,0.,15.456
180,0.003,0.,0.003,18.901,0.001,18.898
190,0.003,0.,0.003,22.925,0.,22.924
200,0.003,0.,0.003,27.571,0.001,27.569
