param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.003,0.,0.003
3,0.,0.,0.,0.004,0.001,0.002
4,0.,0.,0.,0.005,0.,0.005
5,0.,0.,0.,0.052,0.003,0.049
6,0.,0.,0.,0.006,0.,0.006
7,0.,0.,0.,0.008,0.,0.008
8,0.,0.,0.,0.009,0.,0.009
9,0.,0.,0.,0.011,0.,0.011
10,0.002,0.,0.002,0.013,0.,0.013
11,0.001,0.,0.001,0.014,0.,0.014
12,0.001,0.,0.001,0.016,0.,0.016
13,0.001,0.,0.001,0.018,0.,0.018
14,0.001,0.,0.001,0.021,0.,0.021
15,0.001,0.,0.001,0.022,0.,0.021
16,0.001,0.,0.001,0.026,0.,0.026
17,0.001,0.,0.001,0.027,0.,0.027
18,0.001,0.,0.001,0.032,0.,0.032
19,0.001,0.,0.001,0.034,0.,0.034
20,0.001,0.,0.001,0.036,0.,0.036
21,0.001,0.,0.001,0.042,0.,0.042
22,0.001,0.,0.001,0.043,0.,0.043
23,0.001,0.,0.001,0.048,0.,0.048
24,0.001,0.,0.001,0.051,0.,0.051
25,0.001,0.,0.001,0.058,0.,0.058
26,0.001,0.,0.001,0.059,0.,0.059
27,0.001,0.,0.001,0.065,0.,0.065
28,0.001,0.,0.001,0.066,0.,0.066
29,0.001,0.,0.001,0.076,0.,0.076
30,0.002,0.,0.002,0.082,0.,0.082
31,0.002,0.,0.002,0.08,0.,0.08
32,0.002,0.,0.002,0.092,0.002,0.089
33,0.002,0.,0.002,0.099,0.,0.099
34,0.002,0.,0.002,0.104,0.,0.104
35,0.002,0.,0.002,0.101,0.,0.101
36,0.002,0.,0.002,0.108,0.,0.108
37,0.002,0.,0.002,0.115,0.,0.115
38,0.002,0.,0.002,0.121,0.,0.121
39,0.002,0.,0.002,0.13,0.,0.13
40,0.002,0.,0.002,0.145,0.,0.144
41,0.002,0.,0.002,0.159,0.,0.159
42,0.002,0.,0.002,0.15,0.,0.149
43,0.002,0.,0.002,0.155,0.,0.155
44,0.002,0.,0.002,0.165,0.,0.165
45,0.002,0.,0.002,0.173,0.,0.172
46,0.002,0.,0.002,0.182,0.,0.181
47,0.002,0.,0.002,0.189,0.,0.189
48,0.004,0.,0.004,0.198,0.,0.198
49,0.002,0.,0.002,0.207,0.,0.207
50,0.003,0.,0.003,0.217,0.,0.216
51,0.004,0.,0.004,0.24,0.002,0.238
52,0.003,0.,0.003,0.246,0.,0.246
53,0.003,0.,0.003,0.261,0.,0.26
54,0.003,0.,0.003,0.274,0.,0.273
55,0.003,0.,0.003,0.279,0.,0.278
56,0.003,0.,0.003,0.284,0.001,0.283
57,0.003,0.,0.003,0.293,0.003,0.289
58,0.003,0.,0.003,0.302,0.,0.302
59,0.003,0.,0.003,0.315,0.,0.314
60,0.003,0.,0.003,0.327,0.001,0.325
61,0.003,0.,0.003,0.334,0.,0.334
62,0.003,0.,0.003,0.347,0.,0.347
63,0.003,0.,0.003,0.363,0.,0.363
64,0.003,0.,0.003,0.389,0.,0.389
65,0.005,0.,0.005,0.401,0.,0.401
66,0.003,0.,0.003,0.418,0.,0.418
67,0.003,0.,0.003,0.433,0.,0.433
68,0.005,0.,0.005,0.422,0.,0.422
69,0.003,0.,0.003,0.447,0.,0.447
70,0.003,0.,0.003,0.456,0.001,0.454
71,0.005,0.,0.005,0.469,0.,0.469
72,0.004,0.,0.004,0.491,0.,0.491
73,0.004,0.,0.004,0.517,0.,0.517
74,0.004,0.,0.004,0.555,0.,0.554
75,0.004,0.,0.004,0.562,0.,0.562
76,0.004,0.,0.004,0.562,0.,0.562
77,0.004,0.,0.004,0.582,0.,0.582
78,0.004,0.,0.004,0.59,0.,0.59
79,0.005,0.,0.005,0.605,0.,0.605
80,0.004,0.,0.004,0.61,0.,0.61
81,0.004,0.,0.004,0.655,0.,0.655
82,0.004,0.,0.004,0.7,0.,0.7
83,0.004,0.,0.004,0.688,0.,0.688
84,0.004,0.,0.004,0.696,0.,0.696
85,0.004,0.,0.004,0.711,0.,0.711
86,0.004,0.,0.004,0.725,0.,0.725
87,0.006,0.,0.006,0.772,0.,0.772
88,0.004,0.,0.004,0.827,0.,0.827
89,0.004,0.,0.004,0.825,0.,0.825
90,0.004,0.,0.004,0.826,0.,0.826
91,0.004,0.,0.004,0.874,0.,0.874
92,0.005,0.,0.005,0.905,0.,0.905
93,0.004,0.,0.004,0.969,0.,0.969
94,0.004,0.,0.004,0.969,0.,0.969
95,0.005,0.,0.005,0.97,0.,0.97
96,0.005,0.,0.005,0.989,0.,0.989
97,0.005,0.,0.005,1.076,0.,1.076
98,0.005,0.,0.005,1.073,0.,1.073
99,0.005,0.,0.005,1.075,0.,1.075
100,0.005,0.,0.005,1.13,0.,1.13
110,0.005,0.,0.005,1.522,0.009,1.512
120,0.006,0.,0.006,1.766,0.005,1.76
130,0.006,0.,0.006,2.153,0.006,2.144
140,0.006,0.,0.006,2.648,0.003,2.643
150,0.007,0.,0.007,3.182,0.001,3.18
160,0.008,0.,0.008,3.734,0.,3.734
170,0.008,0.,0.008,4.374,0.003,4.368
180,0.008,0.,0.008,5.053,0.,5.053
