param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.089,0.,0.005,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.013,0.,0.013
2,1,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.083,0.003,0.001,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.,0.003,0.038,0.,0.038
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.082,0.,0.004,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.026,0.,0.025
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.084,0.,0.004,0.,0.,0.001,0.,0.,0.,0.012,0.,0.012,0.012,0.,0.012,0.067,0.,0.067
3,3,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.083,0.003,0.001,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.009,0.,0.009,0.052,0.,0.052
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.086,0.,0.003,0.001,0.,0.001,0.,0.,0.,0.031,0.,0.031,0.042,0.,0.042,0.142,0.,0.142
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.083,0.,0.004,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.016,0.,0.016,0.092,0.,0.092
4,4,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.082,0.,0.004,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.022,0.,0.022,0.076,0.,0.076
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.092,0.004,0.001,0.001,0.,0.001,0.,0.,0.,0.07,0.,0.069,0.068,0.,0.068,0.254,0.004,0.249
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.084,0.,0.004,0.,0.,0.,0.,0.,0.,0.053,0.,0.053,0.052,0.,0.052,0.146,0.,0.146
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.242,0.,0.242
7,1,7,,,,,,,,,,,,,,,,,,,0.242,0.007,0.234,0.239,0.007,0.231,0.632,0.007,0.624
7,7,1,,,,,,,,,,,,,,,,,,,0.13,0.,0.13,0.146,0.,0.146,0.376,0.,0.375
8,1,8,,,,,,,,,,,,,,,,,,,0.466,0.,0.466,0.497,0.003,0.493,1.154,0.,1.154
8,2,4,,,,,,,,,,,,,,,,,,,0.14,0.,0.14,0.144,0.,0.143,0.259,0.,0.259
8,4,2,,,,,,,,,,,,,,,,,,,0.11,0.,0.11,0.117,0.,0.116,0.275,0.,0.275
8,8,1,,,,,,,,,,,,,,,,,,,0.211,0.,0.211,0.322,0.,0.322,0.622,0.003,0.618
9,1,9,,,,,,,,,,,,,,,,,,,0.805,0.003,0.801,0.814,0.,0.814,1.641,0.,1.641
9,3,3,,,,,,,,,,,,,,,,,,,0.165,0.,0.165,0.18,0.,0.18,0.413,0.,0.413
9,9,1,,,,,,,,,,,,,,,,,,,0.331,0.,0.331,0.471,0.,0.471,0.6,0.,0.6
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,2.268,0.004,2.263
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,1.001,0.007,0.993
11,1,11,,,,,,,,,,,,,,,,,,,1.965,0.003,1.961,1.763,0.,1.763,,,
11,11,1,,,,,,,,,,,,,,,,,,,0.635,0.,0.635,0.712,0.,0.712,,,
12,1,12,0.006,0.,0.005,,,,,,,,,,,,,,,,2.688,0.,2.688,2.646,0.,2.645,,,
12,3,4,0.002,0.,0.002,,,,,,,,,,,,,,,,0.477,0.,0.476,0.453,0.,0.453,0.479,0.,0.479
12,12,1,0.002,0.,0.002,,,,,,,,,,,,,,,,0.83,0.,0.83,1.031,0.,1.031,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,4.568,0.004,4.564
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,1.932,0.,1.932
15,1,15,,,,,,,,,,,,,,,,,,,8.919,0.003,8.915,9.035,0.015,9.019,,,
15,15,1,,,,,,,,,,,,,,,,,,,1.942,0.,1.942,2.55,0.008,2.541,,,
16,1,16,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,0.002,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,11.73,0.003,11.725
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,4.93,0.011,4.917
18,1,18,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,0.95,0.004,0.946
24,1,24,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
30,5,6,0.004,0.,0.004,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
31,1,31,0.022,0.,0.022,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.035,0.,0.034,,,,,,,,,,0.011,0.,0.011,,,,,,,,,,,,
37,37,1,0.013,0.,0.012,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.085,0.004,0.,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.005,0.,0.005,,,,,,,0.083,0.003,0.001,0.004,0.,0.004,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.085,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.044,0.,0.044,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,
48,1,48,,,,,,,,,,,,,0.017,0.,0.017,,,,,,,,,,,,
48,48,1,,,,,,,,,,,,,0.007,0.,0.007,,,,,,,,,,,,
49,1,49,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,,
49,7,7,0.006,0.,0.006,,,,,,,,,,,,,,,,,,,,,,,,
49,49,1,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,,,,,
55,1,55,0.058,0.,0.058,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,,
56,7,8,0.007,0.,0.007,,,,,,,,,,0.005,0.,0.005,,,,,,,,,,,,
58,1,58,,,,,,,,,,,,,0.021,0.,0.021,,,,,,,,,,,,
58,58,1,,,,,,,,,,,,,0.01,0.,0.01,,,,,,,,,,,,
61,1,61,0.066,0.,0.066,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0.03,0.,0.03,,,,,,,,,,,,,,,,,,,,,,,,
64,1,64,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,8,8,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
64,64,1,,,,0.,0.,0.,0.,0.,0.,,,,,,,,,,,,,,,,,,
67,1,67,0.103,0.,0.103,,,,,,,,,,,,,,,,,,,,,,,,
67,67,1,0.042,0.,0.042,,,,,,,,,,,,,,,,,,,,,,,,
68,1,68,,,,,,,,,,,,,0.035,0.,0.034,,,,,,,,,,,,
68,68,1,,,,,,,,,,,,,0.012,0.,0.012,,,,,,,,,,,,
72,8,9,0.009,0.,0.009,,,,,,,0.085,0.,0.005,0.007,0.,0.007,0.,0.,0.,,,,,,,,,
74,1,74,0.09,0.,0.09,,,,,,,,,,,,,,,,,,,,,,,,
74,74,1,0.046,0.,0.046,,,,,,,,,,,,,,,,,,,,,,,,
78,1,78,,,,,,,,,,0.083,0.003,0.001,,,,0.,0.,0.,,,,,,,,,
78,78,1,,,,,,,,,,0.092,0.004,0.001,,,,0.,0.,0.,,,,,,,,,
79,1,79,,,,,,,,,,,,,0.032,0.,0.032,,,,,,,,,,,,
79,79,1,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
80,1,80,0.103,0.,0.103,,,,,,,,,,,,,,,,,,,,,,,,
80,80,1,0.141,0.,0.141,,,,,,,,,,,,,,,,,,,,,,,,
86,1,86,0.11,0.,0.11,,,,,,,,,,,,,,,,,,,,,,,,
86,86,1,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,,,,,
89,1,89,,,,,,,,,,,,,0.052,0.,0.052,,,,,,,,,,,,
89,89,1,,,,,,,,,,,,,0.015,0.,0.015,,,,,,,,,,,,
90,9,10,0.01,0.,0.01,,,,,,,,,,0.008,0.,0.008,,,,,,,,,,,,
92,1,92,0.14,0.,0.14,,,,,,,,,,,,,,,,,,,,,,,,
92,92,1,0.059,0.,0.059,,,,,,,,,,,,,,,,,,,,,,,,
98,1,98,0.17,0.,0.169,,,,,,,,,,,,,,,,,,,,,,,,
98,98,1,0.099,0.,0.099,,,,,,,,,,,,,,,,,,,,,,,,
99,1,99,,,,,,,,,,,,,0.049,0.,0.049,,,,,,,,,,,,
99,99,1,,,,,,,,,,,,,0.023,0.,0.023,,,,,,,,,,,,
