param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08526,0.00034,0.00089,0.00005,0.086,0.001,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.023,0.,0.023
2,1,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08114,0.00036,0.00096,0.00006,0.082,0.,0.003,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002,0.032,0.,0.032
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08229,0.00033,0.01539,0.00007,0.098,0.,0.018,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.014,0.003,0.01,0.019,0.,0.019
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08601,0.00038,0.00095,0.00008,0.087,0.,0.004,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.009,0.,0.009,0.144,0.,0.144
3,3,1,0.014,0.007,0.006,0.,0.,0.,0.,0.,0.,0.08323,0.00036,0.00105,0.00007,0.084,0.003,0.001,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007,0.035,0.,0.035
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08855,0.00033,0.00084,0.00007,0.089,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.108,0.,0.108,0.119,0.,0.119,0.103,0.,0.103
4,2,2,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.08828,0.00039,0.00094,0.00007,0.089,0.004,0.,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.012,0.,0.012,0.061,0.,0.061
4,4,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08786,0.00035,0.00099,0.00007,0.089,0.,0.004,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.016,0.,0.016,0.08,0.,0.08
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.08650,0.00034,0.00084,0.00007,0.088,0.004,0.,0.001,0.,0.,0.,0.,0.,0.06,0.,0.06,0.064,0.,0.064,0.281,0.003,0.277
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07725,0.00037,0.00075,0.00007,0.078,0.,0.004,0.,0.,0.,0.,0.,0.,0.112,0.,0.112,0.117,0.,0.117,0.121,0.,0.121
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,0.,0.168
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.279,0.004,0.274,0.246,0.008,0.237,0.582,0.,0.582
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.106,0.003,0.102,0.102,0.,0.102,0.254,0.,0.254
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.293,0.003,0.29,0.273,0.,0.273,0.881,0.003,0.877
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.184,0.,0.184,0.176,0.,0.176,0.276,0.,0.276
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.091,0.,0.091,0.09,0.,0.09,0.224,0.,0.224
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.11,0.,0.11,0.119,0.,0.119,0.339,0.,0.339
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.466,0.004,0.462,0.447,0.003,0.444,1.061,0.,1.061
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.191,0.,0.191,0.182,0.,0.182,0.301,0.,0.301
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.195,0.,0.195,0.203,0.,0.203,0.446,0.,0.446
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.502,0.,1.502
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628,0.,0.628
11,1,11,,,,,,,,,,,,,,,,,,,,,,,1.021,0.003,1.017,0.989,0.,0.989,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.334,0.,0.334,0.332,0.,0.332,,,
12,1,12,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,1.432,0.,1.432,1.41,0.004,1.406,,,
12,3,4,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,0.275,0.,0.275,0.288,0.,0.288,0.306,0.,0.306
12,12,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,0.4,0.,0.4,0.455,0.,0.455,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.606,0.,3.605
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.504,0.003,1.5
15,1,15,,,,,,,,,,,,,,,,,,,,,,,4.606,0.007,4.598,4.585,0.008,4.576,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.861,0.004,0.857,1.088,0.,1.088,,,
16,1,16,,,,,,,,,,,,,,,,,0.016,0.,0.016,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.248,0.024,9.224
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.561,0.007,3.553
18,1,18,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,0.004,0.734
24,1,24,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
30,5,6,0.003,0.,0.003,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
31,1,31,0.02,0.,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
