param-n,abstract+autorewrite-regression-quadratic-real,abstract+autorewrite-regression-quadratic-sys,abstract+autorewrite-regression-quadratic-user,abstract+rewrite!-regression-quadratic-real,abstract+rewrite!-regression-quadratic-sys,abstract+rewrite!-regression-quadratic-user,autorewrite-noop-regression-linear-real,autorewrite-noop-regression-linear-sys,autorewrite-noop-regression-linear-user,autorewrite-regression-quadratic-real,autorewrite-regression-quadratic-sys,autorewrite-regression-quadratic-user,close-abstract+autorewrite-regression-quadratic-real,close-abstract+autorewrite-regression-quadratic-sys,close-abstract+autorewrite-regression-quadratic-user,close-abstract+rewrite!-regression-quadratic-real,close-abstract+rewrite!-regression-quadratic-sys,close-abstract+rewrite!-regression-quadratic-user,rewrite!-regression-quadratic-real,rewrite!-regression-quadratic-sys,rewrite!-regression-quadratic-user,rewrite?-noop-regression-linear-real,rewrite?-noop-regression-linear-sys,rewrite?-noop-regression-linear-user
1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.001,0.,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
3,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,0.001,0.,0.001,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
6,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
7,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
8,0.017,0.,0.017,0.002,0.,0.002,0.,0.,0.,0.001,0.,0.001,0.015,0.,0.015,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
9,0.003,0.,0.003,0.016,0.007,0.009,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.001,0.,0.,0.015,0.007,0.007,0.,0.,0.
10,0.004,0.,0.004,0.004,0.,0.004,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.
11,0.005,0.,0.005,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.
12,0.005,0.,0.005,0.004,0.,0.004,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.,0.,0.
13,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.,0.,0.
14,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.,0.,0.
15,0.007,0.,0.007,0.007,0.,0.007,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.002,0.,0.002,0.004,0.,0.004,0.,0.,0.
16,0.008,0.,0.008,0.008,0.,0.008,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002,0.002,0.,0.002,0.004,0.,0.004,0.,0.,0.
17,0.092,0.,0.092,0.09,0.,0.09,0.,0.,0.,0.088,0.,0.088,0.003,0.,0.003,0.002,0.,0.002,0.005,0.,0.005,0.082,0.,0.082
18,0.009,0.,0.009,0.008,0.,0.008,0.,0.,0.,0.005,0.,0.005,0.003,0.,0.003,0.002,0.,0.002,0.005,0.,0.005,0.,0.,0.
19,0.01,0.,0.01,0.01,0.,0.01,0.,0.,0.,0.006,0.,0.006,0.003,0.,0.003,0.003,0.,0.003,0.006,0.,0.006,0.,0.,0.
20,0.011,0.,0.011,0.01,0.,0.01,0.,0.,0.,0.007,0.,0.007,0.004,0.,0.004,0.003,0.,0.003,0.006,0.,0.006,0.,0.,0.
21,0.013,0.,0.013,0.011,0.,0.011,0.,0.,0.,0.007,0.,0.007,0.005,0.,0.005,0.003,0.,0.003,0.007,0.,0.007,0.,0.,0.
22,0.013,0.,0.013,0.014,0.,0.014,0.,0.,0.,0.008,0.,0.008,0.004,0.,0.004,0.004,0.,0.004,0.008,0.,0.008,0.,0.,0.
23,0.014,0.,0.014,0.013,0.,0.013,0.,0.,0.,0.009,0.,0.009,0.004,0.,0.004,0.004,0.,0.004,0.008,0.,0.008,0.,0.,0.
24,0.015,0.,0.015,0.014,0.,0.014,0.,0.,0.,0.009,0.,0.009,0.005,0.,0.005,0.005,0.,0.005,0.008,0.,0.008,0.,0.,0.
25,0.038,0.,0.038,0.036,0.,0.036,0.,0.,0.,0.031,0.,0.031,0.006,0.,0.006,0.005,0.,0.005,0.03,0.,0.03,0.,0.,0.
26,0.018,0.,0.018,0.016,0.,0.016,0.,0.,0.,0.011,0.,0.011,0.006,0.,0.006,0.006,0.,0.006,0.01,0.,0.01,0.,0.,0.
27,0.02,0.,0.02,0.018,0.,0.018,0.,0.,0.,0.011,0.,0.011,0.007,0.,0.007,0.007,0.,0.007,0.01,0.,0.01,0.,0.,0.
28,0.019,0.,0.019,0.02,0.,0.02,0.,0.,0.,0.012,0.,0.012,0.007,0.,0.007,0.006,0.,0.006,0.013,0.,0.013,0.,0.,0.
29,0.021,0.,0.021,0.019,0.,0.019,0.,0.,0.,0.013,0.,0.013,0.007,0.,0.007,0.006,0.,0.006,0.012,0.,0.012,0.,0.,0.
30,0.021,0.,0.021,0.02,0.,0.02,0.,0.,0.,0.013,0.,0.013,0.007,0.,0.007,0.007,0.,0.007,0.012,0.,0.012,0.,0.,0.
31,0.022,0.,0.022,0.022,0.,0.022,0.,0.,0.,0.014,0.,0.014,0.007,0.,0.007,0.008,0.,0.008,0.013,0.,0.013,0.,0.,0.
32,0.025,0.,0.025,0.024,0.,0.024,0.,0.,0.,0.015,0.,0.015,0.008,0.,0.008,0.009,0.,0.009,0.014,0.,0.014,0.,0.,0.
33,0.025,0.,0.025,0.024,0.,0.024,0.,0.,0.,0.015,0.,0.015,0.008,0.,0.008,0.008,0.,0.008,0.015,0.,0.015,0.,0.,0.
34,0.041,0.,0.039,0.038,0.,0.038,0.,0.,0.,0.03,0.,0.029,0.009,0.,0.009,0.009,0.,0.009,0.027,0.,0.027,0.,0.,0.
35,0.029,0.,0.029,0.03,0.,0.03,0.,0.,0.,0.017,0.,0.017,0.011,0.,0.011,0.01,0.,0.01,0.018,0.,0.018,0.,0.,0.
36,0.031,0.,0.031,0.031,0.,0.031,0.,0.,0.,0.019,0.,0.019,0.01,0.,0.01,0.011,0.,0.011,0.019,0.,0.019,0.,0.,0.
37,0.052,0.,0.052,0.048,0.,0.048,0.,0.,0.,0.038,0.,0.038,0.013,0.,0.013,0.028,0.,0.028,0.019,0.,0.019,0.,0.,0.
38,0.123,0.,0.123,0.032,0.,0.032,0.,0.,0.,0.022,0.,0.022,0.1,0.,0.1,0.012,0.,0.012,0.019,0.,0.019,0.,0.,0.
39,0.039,0.,0.039,0.12,0.,0.12,0.,0.,0.,0.023,0.,0.023,0.014,0.,0.014,0.014,0.,0.014,0.105,0.,0.105,0.,0.,0.
40,0.042,0.,0.042,0.04,0.,0.04,0.,0.,0.,0.025,0.,0.025,0.015,0.,0.015,0.015,0.,0.015,0.024,0.,0.024,0.,0.,0.
41,0.066,0.,0.066,0.062,0.,0.062,0.,0.,0.,0.049,0.,0.049,0.015,0.,0.015,0.037,0.,0.037,0.024,0.,0.024,0.,0.,0.
42,0.045,0.,0.045,0.041,0.,0.041,0.,0.,0.,0.028,0.,0.028,0.016,0.,0.016,0.016,0.,0.016,0.024,0.,0.024,0.,0.,0.
43,0.045,0.,0.045,0.042,0.,0.042,0.,0.,0.,0.027,0.,0.027,0.016,0.,0.016,0.016,0.,0.016,0.024,0.,0.024,0.,0.,0.
44,0.047,0.,0.047,0.043,0.,0.043,0.,0.,0.,0.028,0.,0.028,0.017,0.,0.017,0.015,0.,0.015,0.026,0.,0.026,0.,0.,0.
45,0.061,0.,0.061,0.047,0.,0.047,0.,0.,0.,0.03,0.,0.03,0.03,0.,0.03,0.017,0.,0.017,0.029,0.,0.029,0.,0.,0.
46,0.052,0.,0.052,0.058,0.,0.058,0.,0.,0.,0.031,0.,0.031,0.019,0.,0.019,0.017,0.,0.017,0.04,0.,0.04,0.,0.,0.
47,0.065,0.,0.065,0.05,0.,0.05,0.,0.,0.,0.032,0.,0.032,0.031,0.,0.031,0.018,0.,0.018,0.03,0.,0.03,0.,0.,0.
48,0.056,0.,0.056,0.063,0.,0.063,0.,0.,0.,0.033,0.,0.033,0.021,0.,0.021,0.019,0.,0.019,0.042,0.,0.042,0.,0.,0.
49,0.057,0.,0.057,0.056,0.,0.056,0.,0.,0.,0.034,0.,0.034,0.021,0.,0.021,0.02,0.,0.02,0.034,0.,0.034,0.,0.,0.
50,0.072,0.,0.072,0.067,0.,0.067,0.001,0.,0.001,0.047,0.,0.047,0.023,0.,0.023,0.021,0.,0.021,0.045,0.,0.044,0.,0.,0.
51,0.062,0.,0.062,0.059,0.,0.059,0.,0.,0.,0.039,0.,0.039,0.022,0.,0.022,0.022,0.,0.022,0.035,0.,0.035,0.,0.,0.
52,0.064,0.,0.064,0.059,0.,0.059,0.,0.,0.,0.039,0.,0.039,0.023,0.,0.023,0.021,0.,0.021,0.036,0.,0.036,0.,0.,0.
53,0.067,0.,0.067,0.064,0.,0.064,0.,0.,0.,0.04,0.,0.04,0.024,0.,0.024,0.023,0.,0.023,0.039,0.,0.039,0.,0.,0.
54,0.07,0.,0.07,0.066,0.,0.066,0.,0.,0.,0.043,0.,0.043,0.025,0.,0.025,0.024,0.,0.024,0.039,0.,0.039,0.,0.,0.
55,0.071,0.,0.071,0.066,0.,0.066,0.,0.,0.,0.043,0.,0.043,0.025,0.,0.025,0.025,0.,0.025,0.039,0.,0.039,0.001,0.,0.001
56,0.074,0.,0.074,0.065,0.,0.065,0.,0.,0.,0.045,0.,0.045,0.027,0.,0.027,0.024,0.,0.024,0.04,0.,0.04,0.,0.,0.
57,0.077,0.,0.077,0.069,0.,0.069,0.,0.,0.,0.048,0.,0.048,0.027,0.,0.027,0.026,0.,0.026,0.041,0.,0.041,0.,0.,0.
58,0.08,0.,0.08,0.072,0.,0.072,0.,0.,0.,0.047,0.,0.047,0.032,0.,0.032,0.025,0.,0.025,0.044,0.,0.044,0.,0.,0.
59,0.081,0.,0.081,0.075,0.,0.075,0.,0.,0.,0.049,0.,0.049,0.031,0.,0.031,0.028,0.,0.028,0.043,0.,0.043,0.,0.,0.
60,0.089,0.,0.089,0.08,0.,0.08,0.,0.,0.,0.055,0.,0.055,0.033,0.,0.033,0.03,0.,0.03,0.048,0.,0.048,0.,0.,0.
61,0.095,0.,0.095,0.076,0.,0.076,0.,0.,0.,0.057,0.,0.057,0.035,0.,0.035,0.029,0.,0.029,0.046,0.,0.046,0.,0.,0.
62,0.09,0.,0.09,0.08,0.,0.08,0.,0.,0.,0.055,0.,0.055,0.033,0.,0.033,0.031,0.,0.031,0.046,0.,0.046,0.,0.,0.
63,0.087,0.,0.087,0.089,0.,0.089,0.,0.,0.,0.051,0.,0.051,0.034,0.,0.034,0.036,0.,0.036,0.051,0.,0.051,0.,0.,0.
64,0.091,0.,0.091,0.096,0.,0.096,0.,0.,0.,0.054,0.,0.054,0.036,0.,0.036,0.038,0.,0.038,0.055,0.,0.055,0.,0.,0.
65,0.092,0.,0.092,0.089,0.,0.089,0.,0.,0.,0.054,0.,0.054,0.036,0.,0.036,0.035,0.,0.035,0.052,0.,0.052,0.,0.,0.
66,0.101,0.,0.101,0.094,0.,0.094,0.,0.,0.,0.06,0.,0.06,0.039,0.,0.039,0.037,0.,0.037,0.055,0.,0.055,0.001,0.,0.001
67,0.103,0.,0.103,0.093,0.,0.093,0.,0.,0.,0.06,0.,0.06,0.041,0.,0.041,0.038,0.,0.038,0.053,0.,0.053,0.,0.,0.
68,0.107,0.,0.107,0.098,0.,0.098,0.002,0.,0.002,0.062,0.,0.062,0.041,0.,0.041,0.04,0.,0.04,0.056,0.,0.056,0.,0.,0.
69,0.105,0.,0.105,0.101,0.,0.101,0.,0.,0.,0.062,0.,0.062,0.041,0.,0.041,0.042,0.,0.042,0.057,0.,0.057,0.,0.,0.
70,0.108,0.,0.108,0.103,0.,0.103,0.001,0.,0.001,0.064,0.,0.064,0.042,0.,0.042,0.041,0.,0.041,0.059,0.,0.059,0.,0.,0.
71,0.109,0.,0.109,0.105,0.,0.105,0.001,0.,0.001,0.063,0.,0.063,0.043,0.,0.043,0.039,0.,0.039,0.064,0.,0.064,0.,0.,0.
72,0.114,0.,0.114,0.107,0.003,0.103,0.001,0.,0.001,0.068,0.,0.068,0.044,0.,0.044,0.043,0.001,0.041,0.061,0.,0.061,0.,0.,0.
73,0.125,0.,0.125,0.111,0.,0.111,0.,0.,0.,0.074,0.,0.074,0.049,0.,0.049,0.046,0.,0.046,0.063,0.,0.063,0.,0.,0.
74,0.126,0.,0.126,0.117,0.,0.117,0.001,0.,0.001,0.073,0.,0.073,0.05,0.,0.05,0.043,0.,0.043,0.071,0.,0.071,0.,0.,0.
75,0.124,0.,0.124,0.118,0.,0.118,0.001,0.,0.001,0.076,0.,0.076,0.046,0.,0.046,0.048,0.,0.048,0.067,0.,0.067,0.001,0.,0.001
76,0.121,0.003,0.117,0.121,0.,0.121,0.,0.,0.,0.069,0.,0.069,0.05,0.003,0.046,0.047,0.,0.047,0.071,0.,0.071,0.,0.,0.
77,0.132,0.,0.131,0.122,0.,0.122,0.001,0.,0.001,0.076,0.,0.076,0.053,0.,0.053,0.049,0.,0.049,0.071,0.,0.071,0.001,0.,0.001
78,0.13,0.,0.13,0.131,0.,0.131,0.001,0.,0.001,0.08,0.,0.08,0.048,0.,0.048,0.052,0.,0.052,0.077,0.,0.077,0.001,0.,0.001
79,0.127,0.,0.127,0.132,0.,0.132,0.001,0.,0.001,0.074,0.,0.074,0.05,0.,0.05,0.054,0.,0.054,0.075,0.,0.075,0.001,0.,0.001
80,0.143,0.,0.143,0.136,0.,0.136,0.001,0.,0.001,0.082,0.,0.082,0.058,0.,0.058,0.054,0.,0.054,0.08,0.,0.08,0.,0.,0.
81,0.138,0.,0.138,0.137,0.,0.137,0.001,0.,0.001,0.08,0.,0.08,0.055,0.,0.055,0.053,0.,0.053,0.082,0.,0.082,0.001,0.,0.001
82,0.145,0.,0.145,0.149,0.,0.149,0.001,0.,0.001,0.085,0.,0.085,0.058,0.,0.058,0.062,0.,0.062,0.084,0.,0.084,0.001,0.,0.001
83,0.153,0.,0.153,0.148,0.,0.147,0.001,0.,0.001,0.09,0.,0.09,0.061,0.,0.061,0.059,0.,0.059,0.086,0.,0.086,0.001,0.,0.001
84,0.165,0.,0.165,0.162,0.,0.162,0.001,0.,0.001,0.096,0.,0.096,0.066,0.,0.066,0.067,0.,0.067,0.092,0.,0.092,0.001,0.,0.001
85,0.156,0.,0.156,0.157,0.,0.157,0.001,0.,0.001,0.092,0.,0.092,0.061,0.,0.061,0.063,0.,0.063,0.092,0.,0.092,0.001,0.,0.001
86,0.163,0.,0.163,0.16,0.,0.16,0.001,0.,0.001,0.098,0.,0.098,0.063,0.,0.063,0.066,0.,0.066,0.092,0.,0.092,0.001,0.,0.001
87,0.161,0.,0.161,0.166,0.,0.166,0.001,0.,0.001,0.093,0.,0.093,0.065,0.,0.065,0.072,0.,0.072,0.091,0.,0.091,0.001,0.,0.001
88,0.163,0.,0.163,0.161,0.,0.161,0.001,0.,0.001,0.093,0.,0.093,0.067,0.,0.067,0.064,0.,0.064,0.094,0.,0.094,0.001,0.,0.001
89,0.181,0.,0.181,0.168,0.,0.168,0.001,0.,0.001,0.11,0.,0.11,0.068,0.,0.068,0.069,0.,0.069,0.096,0.,0.096,0.001,0.,0.001
90,0.174,0.,0.174,0.168,0.003,0.164,0.001,0.,0.001,0.102,0.,0.102,0.069,0.,0.069,0.065,0.,0.065,0.1,0.003,0.096,0.001,0.,0.001
91,0.166,0.,0.166,0.166,0.,0.166,0.001,0.,0.001,0.099,0.,0.099,0.065,0.,0.065,0.064,0.,0.064,0.099,0.,0.099,0.001,0.,0.001
92,0.173,0.,0.173,0.168,0.,0.168,0.001,0.,0.001,0.106,0.,0.106,0.065,0.,0.065,0.065,0.,0.065,0.101,0.,0.101,0.001,0.,0.001
93,0.178,0.,0.178,0.171,0.,0.171,0.001,0.,0.001,0.108,0.,0.108,0.067,0.,0.067,0.067,0.,0.067,0.101,0.,0.101,0.001,0.,0.001
94,0.175,0.,0.175,0.176,0.003,0.172,0.001,0.,0.001,0.105,0.,0.105,0.068,0.,0.068,0.066,0.003,0.062,0.107,0.,0.107,0.001,0.,0.001
95,0.189,0.,0.189,0.183,0.,0.183,0.001,0.,0.001,0.113,0.,0.113,0.073,0.,0.073,0.068,0.,0.068,0.112,0.,0.112,0.001,0.,0.001
96,0.187,0.003,0.183,0.186,0.,0.186,0.001,0.,0.001,0.11,0.,0.11,0.075,0.003,0.071,0.07,0.,0.07,0.113,0.,0.113,0.001,0.,0.001
97,0.19,0.,0.19,0.182,0.,0.182,0.004,0.,0.004,0.111,0.,0.111,0.074,0.,0.073,0.07,0.,0.07,0.109,0.,0.109,0.001,0.,0.001
98,0.189,0.,0.189,0.204,0.,0.204,0.001,0.,0.001,0.113,0.,0.113,0.074,0.,0.074,0.08,0.,0.08,0.12,0.,0.12,0.001,0.,0.001
99,0.199,0.,0.199,0.205,0.,0.205,0.001,0.,0.001,0.121,0.,0.121,0.075,0.,0.075,0.079,0.,0.079,0.124,0.,0.124,0.001,0.,0.001
100,0.302,0.,0.302,0.317,0.003,0.314,0.001,0.,0.001,0.221,0.,0.221,0.078,0.,0.078,0.083,0.003,0.08,0.232,0.,0.232,0.001,0.,0.001
110,0.25,0.004,0.246,0.243,0.003,0.239,0.001,0.,0.001,0.151,0.003,0.147,0.096,0.,0.096,0.095,0.,0.095,0.145,0.003,0.141,0.001,0.,0.001
120,0.297,0.003,0.293,0.31,0.,0.31,0.001,0.,0.001,0.181,0.003,0.177,0.113,0.,0.113,0.116,0.,0.116,0.191,0.,0.191,0.001,0.,0.001
130,0.35,0.,0.35,0.339,0.,0.339,0.001,0.,0.001,0.207,0.,0.207,0.139,0.,0.139,0.132,0.,0.132,0.204,0.,0.204,0.001,0.,0.001
140,0.422,0.003,0.417,0.419,0.,0.419,0.002,0.,0.002,0.247,0.003,0.243,0.171,0.,0.17,0.17,0.,0.17,0.245,0.,0.245,0.001,0.,0.001
150,0.586,0.003,0.583,0.601,0.,0.6,0.002,0.,0.002,0.379,0.,0.379,0.204,0.003,0.201,0.175,0.,0.175,0.402,0.,0.401,0.022,0.,0.022
160,0.555,0.004,0.551,0.582,0.002,0.58,0.002,0.,0.002,0.331,0.003,0.327,0.22,0.,0.22,0.245,0.,0.245,0.333,0.001,0.331,0.002,0.,0.002
170,0.635,0.,0.635,0.631,0.,0.631,0.002,0.,0.002,0.374,0.,0.374,0.257,0.,0.257,0.248,0.,0.248,0.379,0.,0.379,0.002,0.,0.002
180,0.723,0.,0.723,0.705,0.003,0.701,0.003,0.,0.003,0.43,0.,0.43,0.288,0.,0.288,0.283,0.,0.283,0.418,0.003,0.414,0.003,0.,0.003
190,0.732,0.007,0.724,0.731,0.,0.731,0.003,0.,0.002,0.447,0.003,0.443,0.28,0.003,0.276,0.278,0.,0.278,0.448,0.,0.448,0.002,0.,0.002
200,0.92,0.,0.92,0.961,0.003,0.947,0.003,0.,0.003,0.565,0.,0.565,0.35,0.,0.35,0.37,0.,0.36,0.587,0.003,0.583,0.003,0.,0.002
210,0.923,0.007,0.915,0.914,0.003,0.91,0.003,0.,0.003,0.575,0.003,0.571,0.343,0.003,0.339,0.33,0.,0.33,0.578,0.003,0.574,0.003,0.,0.003
220,1.04,0.004,1.036,1.006,0.,1.006,0.003,0.,0.003,0.65,0.003,0.646,0.385,0.,0.385,0.377,0.,0.377,0.623,0.,0.622,0.004,0.,0.004
230,1.194,0.,1.194,1.23,0.,1.23,0.003,0.,0.003,0.728,0.,0.728,0.461,0.,0.461,0.516,0.,0.516,0.708,0.,0.708,0.004,0.,0.004
240,1.317,0.,1.317,1.387,0.,1.386,0.003,0.,0.003,0.788,0.,0.788,0.523,0.,0.523,0.52,0.,0.52,0.86,0.,0.86,0.004,0.,0.004
250,1.359,0.007,1.351,1.431,0.007,1.423,0.004,0.,0.004,0.846,0.007,0.838,0.508,0.,0.508,0.552,0.003,0.548,0.873,0.003,0.869,0.004,0.,0.004
260,1.53,0.,1.53,1.452,0.,1.452,0.004,0.,0.004,0.948,0.,0.948,0.575,0.,0.575,0.527,0.,0.527,0.917,0.,0.917,0.005,0.,0.005
270,1.624,0.011,1.612,1.565,0.,1.565,0.005,0.,0.005,1.004,0.007,0.996,0.612,0.003,0.608,0.56,0.,0.56,0.999,0.,0.999,0.004,0.,0.004
280,1.774,0.007,1.765,1.706,0.,1.706,0.005,0.,0.005,1.119,0.007,1.111,0.647,0.,0.647,0.661,0.,0.661,1.036,0.,1.036,0.006,0.,0.006
290,1.974,0.,1.974,1.897,0.,1.897,0.005,0.,0.005,1.196,0.,1.196,0.771,0.,0.771,0.727,0.,0.727,1.162,0.,1.162,0.005,0.,0.005
300,1.927,0.004,1.923,2.006,0.007,1.998,0.006,0.,0.005,1.188,0.003,1.184,0.732,0.,0.732,0.727,0.,0.727,1.271,0.007,1.263,0.006,0.,0.006
310,2.142,0.,2.142,2.125,0.011,2.112,0.005,0.,0.005,1.369,0.,1.369,0.765,0.,0.765,0.774,0.007,0.766,1.342,0.003,1.338,0.005,0.,0.005
320,2.285,0.,2.285,2.217,0.004,2.212,0.006,0.,0.006,1.473,0.,1.473,0.804,0.,0.804,0.792,0.,0.792,1.417,0.003,1.412,0.005,0.,0.005
330,2.467,0.,2.467,2.508,0.,2.507,0.006,0.,0.006,1.509,0.,1.509,0.949,0.,0.949,0.956,0.,0.956,1.54,0.,1.54,0.009,0.,0.009
340,2.63,0.,2.63,2.688,0.,2.688,0.006,0.,0.006,1.712,0.,1.712,0.909,0.,0.909,1.002,0.,1.002,1.676,0.,1.676,0.008,0.,0.008
350,2.797,0.015,2.781,2.897,0.003,2.893,0.007,0.,0.007,1.745,0.015,1.729,1.043,0.,1.043,1.08,0.,1.08,1.808,0.003,1.804,0.007,0.,0.007
360,2.92,0.,2.918,3.275,0.,3.274,0.007,0.,0.007,1.857,0.,1.855,1.053,0.,1.053,1.222,0.,1.222,2.042,0.,2.041,0.008,0.,0.008
370,3.285,0.,3.284,3.45,0.003,3.445,0.008,0.,0.008,2.075,0.,2.075,1.199,0.,1.199,1.207,0.003,1.203,2.23,0.,2.23,0.01,0.,0.01
380,3.303,0.,3.302,3.599,0.,3.599,0.007,0.,0.007,2.127,0.,2.127,1.166,0.,1.166,1.268,0.,1.268,2.319,0.,2.319,0.009,0.,0.009
390,3.566,0.004,3.559,3.663,0.,3.662,0.008,0.,0.008,2.197,0.,2.196,1.358,0.004,1.352,1.35,0.,1.35,2.301,0.,2.3,0.009,0.,0.009
400,3.664,0.02,3.644,3.626,0.011,3.613,0.009,0.,0.009,2.373,0.015,2.357,1.28,0.004,1.276,1.242,0.,1.242,2.373,0.011,2.361,0.008,0.,0.008
