Params: 0-n= 31 , 1-lgn= 4
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 63 , 1-lgn= 5
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 127 , 1-lgn= 6
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 255 , 1-lgn= 7
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.012 secs (0.012u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 511 , 1-lgn= 8
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 1023 , 1-lgn= 9
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 2047 , 1-lgn= 10
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: 0-n= 4095 , 1-lgn= 11
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Params: 0-n= 8191 , 1-lgn= 12
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.088 secs (0.088u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.003 secs (0.003u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Params: 0-n= 16383 , 1-lgn= 13
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.007 secs (0.007u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.004 secs (0.004u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Params: 0-n= 32767 , 1-lgn= 14
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.017 secs (0.017u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Params: 0-n= 65535 , 1-lgn= 15
Tactic call try-ssr-rewrite!-cold-noop-regression-linear ran for 0.035 secs (0.035u,0.s) (success)
Tactic call try-ssr-rewrite!-noop-regression-linear ran for 0.026 secs (0.026u,0.s) (success)
Tactic call try-ssr-rewrite-noop-regression-linear ran for 0.04 secs (0.04u,0.s) (success)
Tactic call try-ssr-rewrite?-noop-regression-linear ran for 0.111 secs (0.111u,0.s) (success)
