param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10548,0.00032,0.00105,0.00005,0.107,0.004,0.,0.09709,0.00030,0.00104,0.00008,0.098,0.003,0.001,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.09657,0.00030,0.00116,0.00006,0.098,0.004,0.,0.09723,0.00032,0.00105,0.00006,0.098,0.,0.004,0.003,0.,0.003,0.,0.,0.
4,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.09311,0.00029,0.00100,0.00005,0.094,0.,0.004,0.08508,0.00030,0.00108,0.00006,0.086,0.003,0.,0.006,0.,0.006,0.,0.,0.
5,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.09152,0.00031,0.00105,0.00006,0.093,0.004,0.,0.09408,0.00031,0.00097,0.00005,0.095,0.,0.004,0.01,0.,0.01,0.,0.,0.
6,0.019,0.,0.019,0.,0.,0.,0.,0.,0.,0.08795,0.00030,0.00104,0.00007,0.089,0.003,0.001,0.08426,0.00030,0.00101,0.00006,0.085,0.004,0.,0.016,0.,0.016,0.,0.,0.
7,0.056,0.007,0.049,0.,0.,0.,0.,0.,0.,0.09322,0.00033,0.00115,0.00007,0.094,0.,0.004,0.08948,0.00032,0.00108,0.00007,0.091,0.,0.004,0.049,0.003,0.046,0.,0.,0.
8,0.033,0.,0.033,0.,0.,0.,0.,0.,0.,0.09345,0.00029,0.00106,0.00008,0.095,0.,0.004,0.09025,0.00028,0.00099,0.00006,0.091,0.004,0.,0.031,0.,0.031,0.,0.,0.
9,0.07,0.,0.07,0.,0.,0.,0.,0.,0.,0.09911,0.00031,0.00100,0.00006,0.1,0.003,0.001,0.08872,0.00030,0.00097,0.00006,0.09,0.,0.003,0.065,0.,0.065,0.,0.,0.
10,0.058,0.,0.058,0.,0.,0.,0.,0.,0.,0.08741,0.00026,0.00106,0.00008,0.088,0.,0.004,0.09162,0.00028,0.00101,0.00007,0.093,0.,0.004,0.052,0.,0.052,0.,0.,0.
11,0.095,0.004,0.09,0.,0.,0.,,,,,,,,,,,,,,,,,,0.096,0.,0.096,,,
