Params: n= 50
Tactic call lazy-regression-linear ran for 0.549 secs (0.541u,0.008s) (success)
Tactic call intros-regression-linear ran for 1.278 secs (1.278u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.235 secs (0.235u,0.s) (success)
Tactic call case-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.205 secs (0.205u,0.s) (success)
Tactic call case-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: n= 100
Tactic call lazy-regression-linear ran for 0.986 secs (0.97u,0.015s) (success)
Tactic call intros-regression-linear ran for 4.913 secs (4.913u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.442 secs (0.438u,0.003s) (success)
Tactic call case-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.394 secs (0.394u,0.s) (success)
Tactic call case-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: n= 150
Tactic call lazy-regression-linear ran for 1.487 secs (1.474u,0.011s) (success)
Tactic call intros-regression-linear ran for 10.657 secs (10.656u,0.s) (success)
Tactic call destruct-and-regression-linear ran for 0.624 secs (0.624u,0.s) (success)
Tactic call case-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.592 secs (0.592u,0.s) (success)
Tactic call case-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Params: n= 200
Tactic call lazy-regression-linear ran for 2.031 secs (2.023u,0.007s) (success)
Tactic call intros-regression-linear ran for 18.892 secs (18.887u,0.003s) (success)
Tactic call destruct-and-regression-linear ran for 0.819 secs (0.819u,0.s) (success)
Tactic call case-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-and-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call destruct-or-regression-linear ran for 0.807 secs (0.807u,0.s) (success)
Tactic call case-or-regression-linear ran for 0. secs (0.u,0.s) (success)
Tactic call case-clear-intros-or-regression-linear ran for 0. secs (0.u,0.s) (success)
