param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.
1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.
2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
10,0.011,0.004,0.007,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.002,0.01,0.,0.01,0.007,0.003,0.003
20,0.066,0.008,0.057,0.006,0.,0.006,0.005,0.,0.005,0.006,0.,0.006,0.06,0.,0.06,0.059,0.007,0.051
30,0.045,0.003,0.042,0.013,0.003,0.01,0.008,0.,0.008,0.011,0.003,0.007,0.037,0.,0.037,0.031,0.,0.031
40,0.077,0.,0.076,0.027,0.,0.027,0.014,0.,0.014,0.053,0.,0.052,0.061,0.,0.061,0.049,0.,0.049
50,0.145,0.012,0.132,0.037,0.,0.036,0.02,0.,0.02,0.058,0.019,0.038,0.126,0.015,0.111,0.107,0.011,0.095
60,0.162,0.,0.162,0.057,0.,0.057,0.023,0.,0.023,0.023,0.,0.023,0.133,0.,0.133,0.104,0.,0.104
70,0.214,0.,0.214,0.076,0.,0.076,0.03,0.,0.03,0.031,0.,0.031,0.172,0.003,0.169,0.137,0.,0.137
80,0.272,0.003,0.268,0.086,0.,0.086,0.043,0.,0.043,0.038,0.,0.038,0.217,0.003,0.213,0.185,0.003,0.181
90,0.347,0.,0.347,0.104,0.,0.104,0.047,0.,0.047,0.047,0.,0.047,0.279,0.,0.279,0.242,0.,0.242
100,0.406,0.003,0.402,0.127,0.,0.127,0.056,0.,0.056,0.056,0.,0.056,0.336,0.,0.336,0.279,0.003,0.275
110,0.495,0.,0.495,0.15,0.,0.15,0.067,0.,0.067,0.067,0.,0.067,0.412,0.008,0.404,0.344,0.,0.344
120,0.567,0.,0.567,0.172,0.,0.172,0.079,0.,0.078,0.079,0.,0.079,0.466,0.,0.466,0.394,0.,0.394
130,0.662,0.003,0.658,0.199,0.,0.199,0.089,0.,0.089,0.092,0.,0.092,0.55,0.,0.55,0.462,0.003,0.458
140,0.764,0.,0.764,0.238,0.,0.238,0.104,0.,0.104,0.105,0.,0.105,0.641,0.,0.641,0.525,0.,0.525
150,0.934,0.003,0.93,0.267,0.,0.267,0.118,0.,0.118,0.117,0.,0.117,0.781,0.,0.781,0.666,0.003,0.662
160,1.113,0.003,1.109,0.308,0.,0.308,0.134,0.,0.134,0.137,0.,0.137,0.919,0.003,0.915,0.804,0.003,0.8
170,1.178,0.003,1.174,0.332,0.,0.332,0.152,0.,0.151,0.153,0.,0.153,0.96,0.003,0.956,0.845,0.003,0.841
180,1.281,0.,1.281,0.373,0.,0.373,0.167,0.,0.167,0.17,0.,0.17,1.106,0.,1.106,0.907,0.,0.907
190,1.616,0.003,1.612,0.434,0.,0.434,0.19,0.,0.19,0.188,0.,0.188,1.24,0.,1.24,1.181,0.003,1.177
200,1.598,0.007,1.591,0.449,0.,0.449,0.204,0.,0.204,0.204,0.,0.204,1.382,0.003,1.378,1.149,0.007,1.141
210,2.26,0.,2.26,0.514,0.,0.514,0.232,0.,0.232,0.231,0.,0.231,1.567,0.,1.566,1.744,0.,1.744
220,2.233,0.,2.233,0.555,0.,0.554,0.255,0.,0.255,0.253,0.,0.253,1.698,0.,1.698,1.677,0.,1.677
230,2.461,0.,2.461,0.624,0.,0.624,0.279,0.,0.279,0.276,0.,0.276,1.921,0.,1.92,1.836,0.,1.836
240,2.721,0.003,2.717,0.657,0.,0.657,0.3,0.,0.3,0.301,0.,0.301,2.902,0.,2.902,2.063,0.003,2.059
250,3.022,0.,3.021,0.755,0.,0.754,0.327,0.,0.327,0.33,0.,0.33,2.342,0.,2.342,2.267,0.,2.266
300,4.602,0.,4.602,1.029,0.,1.029,0.485,0.,0.485,0.482,0.,0.482,4.316,0.,4.315,3.572,0.,3.572
400,9.21,0.,9.21,1.808,0.,1.808,0.895,0.,0.895,0.892,0.,0.892,8.223,0.011,8.21,7.401,0.,7.401
