param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10739,0.00027,0.00067,0.00004,0.108,0.002,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.009,0.,0.009
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10176,0.00030,0.00067,0.00005,0.102,0.003,0.001,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.002,0.,0.062,0.,0.062
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10099,0.00029,0.00063,0.00004,0.102,0.004,0.,0.,0.,0.,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.,0.015,0.,0.015
3,1,3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10236,0.00045,0.00065,0.00005,0.103,0.003,0.001,0.,0.,0.,0.,0.,0.,0.044,0.001,0.043,0.045,0.,0.045,0.042,0.,0.042
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10456,0.00029,0.00064,0.00005,0.105,0.003,0.001,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.004,0.,0.004,0.025,0.,0.025
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10249,0.00030,0.00068,0.00005,0.103,0.002,0.002,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.019,0.,0.019,0.075,0.,0.075
4,2,2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10257,0.00035,0.00065,0.00005,0.103,0.003,0.001,0.,0.,0.,0.,0.,0.,0.008,0.,0.008,0.008,0.,0.008,0.047,0.,0.047
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.10142,0.00030,0.00064,0.00005,0.102,0.003,0.001,0.,0.,0.,0.,0.,0.,0.01,0.,0.01,0.011,0.,0.011,0.043,0.,0.043
5,1,5,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.10532,0.00025,0.00065,0.00005,0.106,0.,0.005,0.001,0.,0.,0.,0.,0.,0.076,0.007,0.069,0.078,0.004,0.073,0.174,0.007,0.167
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10300,0.00025,0.00063,0.00006,0.104,0.004,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.021,0.023,0.,0.023,0.072,0.,0.072
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,0.,0.124
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.165,0.003,0.161,0.165,0.004,0.161,0.41,0.011,0.399
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.058,0.,0.057,0.064,0.,0.064,0.173,0.,0.172
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.204,0.,0.204,0.206,0.,0.206,0.554,0.,0.554
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.078,0.,0.078,0.077,0.,0.077,0.155,0.,0.155
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.053,0.,0.053,0.054,0.,0.054,0.163,0.,0.163
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.089,0.,0.089,0.096,0.,0.096,0.246,0.,0.246
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.318,0.007,0.31,0.325,0.,0.325,0.838,0.003,0.834
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.08,0.,0.08,0.082,0.,0.082,0.25,0.,0.25
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.125,0.003,0.121,0.142,0.,0.142,0.357,0.,0.357
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.156,0.,1.156
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482,0.003,0.478
11,1,11,,,,,,,,,,,,,,,,,,,,,,,0.749,0.,0.749,0.762,0.,0.762,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.238,0.,0.238,0.268,0.,0.268,,,
12,1,12,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,1.153,0.003,1.15,1.143,0.003,1.14,,,
12,3,4,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,0.212,0.,0.212,0.211,0.,0.211,0.239,0.,0.239
12,12,1,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,0.319,0.,0.319,0.358,0.,0.358,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.884,0.,2.884
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.123,0.,1.123
15,1,15,,,,,,,,,,,,,,,,,,,,,,,3.605,0.,3.605,3.608,0.007,3.599,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.64,0.,0.637,0.739,0.003,0.735,,,
16,1,16,,,,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
