param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10892,0.00021,0.00051,0.00004,0.11,0.005,0.,0.12788,0.00023,0.00052,0.00004,0.128,0.01,0.015,0.02,0.004,0.016,0.,0.,0.
3,0.022,0.008,0.014,0.,0.,0.,0.,0.,0.,0.10791,0.00020,0.00054,0.00004,0.108,0.,0.004,0.10612,0.00022,0.00049,0.00004,0.107,0.003,0.001,0.002,0.,0.001,0.,0.,0.
4,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.10746,0.00021,0.00050,0.00004,0.108,0.005,0.,0.10664,0.00023,0.00055,0.00004,0.107,0.004,0.,0.004,0.,0.004,0.,0.,0.
5,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.10617,0.00021,0.00054,0.00004,0.107,0.003,0.001,0.10683,0.00023,0.00054,0.00004,0.107,0.003,0.001,0.006,0.,0.006,0.02,0.,0.02
6,0.012,0.,0.012,0.,0.,0.,0.,0.,0.,0.10652,0.00020,0.00063,0.00005,0.107,0.003,0.001,0.10644,0.00023,0.00050,0.00004,0.107,0.004,0.,0.011,0.,0.011,0.,0.,0.
7,0.018,0.,0.018,0.,0.,0.,0.,0.,0.,0.10610,0.00020,0.00052,0.00005,0.107,0.003,0.001,0.10671,0.00024,0.00053,0.00005,0.107,0.004,0.,0.016,0.,0.016,0.,0.,0.
8,0.023,0.,0.023,0.,0.,0.,0.,0.,0.,0.10615,0.00021,0.00051,0.00004,0.107,0.004,0.,0.10769,0.00023,0.00058,0.00005,0.108,0.003,0.002,0.049,0.,0.049,0.,0.,0.
9,0.059,0.,0.059,0.,0.,0.,0.,0.,0.,0.10673,0.00021,0.00053,0.00005,0.107,0.004,0.,0.10725,0.00023,0.00052,0.00005,0.108,0.004,0.,0.03,0.,0.03,0.,0.,0.
10,0.042,0.,0.042,0.,0.,0.,0.,0.,0.,0.10688,0.00021,0.00052,0.00005,0.107,0.004,0.,0.10620,0.00023,0.00052,0.00005,0.107,0.004,0.,0.039,0.003,0.035,0.,0.,0.
11,0.073,0.,0.073,0.,0.,0.,,,,,,,,,,,,,,,,,,0.047,0.,0.047,,,
