param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.001
3,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.001
4,0.002,0.,0.001,0.002,0.,0.002,0.002,0.,0.002
5,0.004,0.,0.004,0.004,0.,0.004,0.004,0.004,0.
6,0.004,0.,0.004,0.004,0.,0.004,0.003,0.003,0.
7,0.004,0.,0.004,0.004,0.,0.004,0.004,0.004,0.
8,0.005,0.,0.005,0.005,0.,0.005,0.005,0.004,0.
9,0.006,0.003,0.003,0.006,0.004,0.002,0.005,0.002,0.003
10,0.007,0.003,0.003,0.007,0.,0.007,0.006,0.,0.006
11,0.008,0.008,0.,0.008,0.002,0.005,0.007,0.,0.007
12,0.01,0.003,0.006,0.01,0.007,0.002,0.042,0.005,0.037
13,0.011,0.003,0.007,0.011,0.003,0.007,0.007,0.,0.007
14,,,,0.045,0.004,0.041,0.008,0.,0.008
15,0.05,0.007,0.043,0.052,0.004,0.048,0.008,0.,0.008
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.01,0.,0.01
18,,,,,,,0.011,0.,0.011
19,,,,,,,0.013,0.,0.013
20,0.056,0.004,0.052,,,,0.013,0.,0.013
21,,,,,,,0.013,0.,0.013
22,,,,0.026,0.,0.026,0.021,0.,0.02
23,,,,,,,0.016,0.,0.016
24,,,,,,,0.017,0.,0.017
25,,,,,,,0.019,0.,0.019
26,0.036,0.,0.036,,,,0.02,0.,0.02
27,,,,,,,0.02,0.,0.02
28,,,,,,,0.023,0.,0.023
29,,,,,,,0.023,0.,0.023
30,,,,0.051,0.,0.051,0.024,0.,0.024
31,,,,,,,0.027,0.,0.027
32,,,,,,,0.028,0.,0.028
33,0.065,0.,0.065,,,,0.031,0.,0.031
34,,,,,,,0.031,0.,0.031
35,,,,,,,0.034,0.,0.034
36,,,,,,,0.034,0.,0.034
37,,,,0.085,0.,0.085,0.037,0.,0.037
38,,,,,,,0.039,0.,0.039
39,0.099,0.,0.099,,,,0.042,0.,0.042
40,,,,,,,0.041,0.,0.041
41,,,,,,,0.045,0.,0.045
42,,,,,,,0.046,0.,0.046
43,,,,,,,0.089,0.007,0.082
44,,,,,,,0.049,0.,0.049
45,,,,0.137,0.,0.137,0.054,0.,0.054
46,0.146,0.,0.146,,,,0.052,0.,0.052
47,,,,,,,0.059,0.,0.059
48,,,,,,,0.058,0.,0.058
49,,,,,,,0.067,0.,0.067
50,,,,,,,0.071,0.,0.07
51,,,,,,,0.066,0.,0.066
52,0.203,0.,0.203,,,,,,
53,,,,0.212,0.,0.211,0.067,0.,0.067
54,,,,,,,0.07,0.,0.07
55,,,,,,,0.072,0.,0.072
56,,,,,,,0.082,0.,0.082
58,,,,,,,0.089,0.,0.089
59,,,,,,,0.094,0.,0.094
60,,,,,,,0.105,0.003,0.101
61,,,,,,,0.095,0.,0.095
62,0.324,0.,0.324,,,,,,
63,,,,0.34,0.,0.34,0.1,0.,0.1
64,,,,,,,0.101,0.004,0.097
65,,,,,,,0.103,0.004,0.099
66,,,,,,,0.106,0.,0.106
68,,,,,,,0.114,0.,0.114
69,,,,,,,0.114,0.,0.114
70,,,,,,,0.12,0.,0.12
71,,,,,,,0.126,0.,0.126
73,0.513,0.,0.513,,,,0.132,0.,0.132
74,,,,0.53,0.,0.53,0.134,0.,0.134
75,,,,,,,0.141,0.,0.141
78,,,,,,,0.159,0.,0.159
80,,,,,,,0.169,0.003,0.166
83,0.732,0.,0.732,,,,0.186,0.,0.186
84,,,,0.759,0.,0.759,,,
85,,,,,,,0.202,0.003,0.199
88,,,,,,,0.207,0.003,0.203
90,,,,,,,0.218,0.,0.218
93,,,,,,,0.22,0.003,0.216
94,1.05,0.,1.049,,,,,,
95,,,,1.075,0.003,1.071,0.226,0.,0.225
98,,,,,,,0.24,0.,0.24
100,,,,,,,0.252,0.,0.252
104,1.392,0.,1.389,,,,,,
105,,,,1.454,0.,1.454,,,
106,,,,,,,0.306,0.,0.306
120,,,,,,,0.36,0.,0.36
140,,,,,,,0.525,0.,0.525
159,,,,,,,0.737,0.,0.737
179,,,,,,,0.922,0.,0.922
199,,,,,,,1.159,0.003,1.155
