param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07306,0.00019,0.00039,0.00005,0.148,0.007,0.067,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07352,0.00018,0.00040,0.00005,0.074,0.,0.001,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.003,0.003,0.,0.014,0.007,0.006
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07199,0.00018,0.00039,0.00006,0.072,0.,0.001,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.008,0.,0.008
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07268,0.00018,0.00038,0.00005,0.073,0.,0.001,0.,0.,0.,0.,0.,0.,0.009,0.,0.009,0.009,0.004,0.005,0.057,0.003,0.054
3,3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07308,0.00017,0.00041,0.00006,0.073,0.,0.001,0.,0.,0.,0.,0.,0.,0.006,0.006,0.,0.006,0.,0.006,0.013,0.,0.012
4,1,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07324,0.00017,0.00040,0.00006,0.073,0.,0.001,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.019,0.,0.019,0.039,0.,0.039
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07308,0.00017,0.00040,0.00006,0.073,0.,0.001,0.,0.,0.,0.,0.,0.,0.011,0.,0.011,0.011,0.003,0.007,0.023,0.,0.023
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07296,0.00018,0.00039,0.00006,0.073,0.001,0.,0.,0.,0.,0.,0.,0.,0.047,0.003,0.043,0.047,0.003,0.044,0.037,0.,0.037
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07172,0.00019,0.00040,0.00006,0.146,0.015,0.059,0.001,0.,0.,0.,0.,0.,0.084,0.004,0.08,0.084,0.012,0.072,0.113,0.007,0.106
5,5,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07218,0.00018,0.00045,0.00007,0.073,0.001,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.023,0.,0.023,0.053,0.,0.053
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.,0.063
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.192,0.011,0.18,0.189,0.004,0.184,0.252,0.,0.252
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.062,0.,0.062,0.066,0.,0.066,0.107,0.,0.107
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.229,0.,0.229,0.226,0.,0.226,0.366,0.,0.366
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.136,0.,0.136,0.133,0.,0.133,0.083,0.,0.083
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.083,0.,0.083,0.084,0.,0.084,0.088,0.,0.088
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.107,0.,0.107,0.116,0.003,0.112,0.179,0.,0.179
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.365,0.,0.365,0.365,0.,0.364,0.548,0.,0.547
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.141,0.,0.141,0.138,0.,0.138,0.183,0.,0.183
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.177,0.,0.177,0.188,0.,0.188,0.268,0.,0.268
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766,0.,0.766
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,0.,0.314
11,1,11,,,,,,,,,,,,,,,,,,,,,,,0.905,0.,0.905,0.9,0.,0.9,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.248,0.,0.248,0.278,0.,0.278,,,
12,1,12,0.002,0.,0.001,,,,,,,,,,,,,,,,,,,,1.305,0.,1.305,1.296,0.,1.296,,,
12,3,4,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.227,0.,0.227,0.227,0.,0.227,0.132,0.,0.132
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.319,0.,0.319,0.363,0.,0.363,,,
13,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555,0.,1.555
13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.741,0.003,0.737
15,1,15,,,,,,,,,,,,,,,,,,,,,,,3.901,0.003,3.897,3.875,0.004,3.87,,,
15,15,1,,,,,,,,,,,,,,,,,,,,,,,0.692,0.,0.691,0.778,0.003,0.774,,,
16,1,16,,,,,,,,,,,,,,,,,0.003,0.001,0.001,,,,,,,,,,,,
16,4,4,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
16,16,1,,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,,,,
17,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.135,0.007,4.127
17,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.912,0.,1.912
18,1,18,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,5,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.328,0.,0.328
24,1,24,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,1,0.003,0.003,0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,27,,,,,,,,,,,,,,,,,0.006,0.,0.006,,,,,,,,,,,,
27,27,1,,,,,,,,,,,,,,,,,0.003,0.,0.003,,,,,,,,,,,,
30,5,6,0.002,0.,0.002,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,,,,
31,1,31,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0.003,0.003,0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,37,0.009,0.,0.008,,,,,,,,,,,,,,0.009,0.,0.009,,,,,,,,,,,,
37,37,1,0.005,0.003,0.002,,,,,,,,,,,,,,0.004,0.,0.004,,,,,,,,,,,,
42,1,42,,,,,,,,,,0.07330,0.00019,0.00039,0.00015,0.147,0.023,0.051,,,,0.,0.,0.,,,,,,,,,
42,6,7,0.035,0.,0.035,,,,,,,0.07256,0.00019,0.00041,0.00016,0.073,0.,0.001,0.003,0.,0.003,0.,0.,0.,,,,,,,,,
42,42,1,,,,,,,,,,0.07164,0.00033,0.00040,0.00034,0.072,0.,0.002,,,,0.,0.,0.,,,,,,,,,
43,1,43,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
