param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-evar-noop-regression-linear-real,try-ssr-rewrite!-evar-noop-regression-linear-sys,try-ssr-rewrite!-evar-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-evar-noop-regression-linear-real,try-ssr-rewrite-evar-noop-regression-linear-sys,try-ssr-rewrite-evar-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-evar-noop-regression-linear-real,try-ssr-rewrite?-evar-noop-regression-linear-sys,try-ssr-rewrite?-evar-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.002,0.,0.002,0.002,0.,0.002,0.016,0.,0.016,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002
16383,13,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004
32767,14,0.009,0.,0.008,0.008,0.,0.008,0.009,0.,0.009,0.014,0.,0.014,0.012,0.,0.012,0.009,0.,0.009,0.009,0.,0.009
65535,15,0.026,0.,0.026,0.018,0.,0.018,0.018,0.,0.018,0.027,0.,0.027,0.048,0.,0.048,0.018,0.,0.018,0.017,0.,0.017
131071,16,0.047,0.,0.047,0.096,0.,0.096,0.046,0.003,0.042,0.064,0.,0.064,0.043,0.,0.043,0.036,0.,0.036,0.037,0.,0.037
262143,17,0.107,0.,0.107,0.075,0.,0.075,0.089,0.,0.089,0.074,0.,0.074,0.136,0.,0.136,0.074,0.,0.074,0.077,0.,0.077
524287,18,0.226,0.,0.226,0.152,0.,0.152,0.149,0.,0.149,0.155,0.,0.155,0.15,0.,0.15,0.151,0.,0.151,0.15,0.,0.15
1048575,19,0.406,0.,0.405,0.31,0.,0.31,0.307,0.,0.307,0.312,0.,0.312,0.312,0.,0.312,0.311,0.,0.311,0.313,0.,0.313
2097151,20,0.799,0.011,0.787,0.627,0.,0.627,0.612,0.,0.612,0.621,0.,0.621,0.618,0.003,0.614,0.621,0.,0.621,0.618,0.,0.618
4194303,21,1.624,0.,1.624,1.247,0.,1.247,1.226,0.,1.226,1.254,0.,1.254,1.235,0.,1.235,1.252,0.,1.252,1.225,0.003,1.219
8388607,22,2.821,0.019,2.801,2.512,0.,2.512,2.435,0.,2.435,2.453,0.,2.453,2.502,0.,2.502,2.48,0.,2.479,2.414,0.,2.414
