param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.
2,0.,0.,0.,0.001,0.,0.001
3,0.,0.,0.,0.002,0.002,0.
4,0.,0.,0.,0.003,0.,0.003
5,0.,0.,0.,0.003,0.,0.003
6,0.,0.,0.,0.004,0.,0.004
7,0.,0.,0.,0.005,0.003,0.002
8,0.,0.,0.,0.006,0.001,0.005
9,0.,0.,0.,0.008,0.,0.008
10,0.,0.,0.,0.009,0.,0.009
11,0.,0.,0.,0.041,0.006,0.035
12,0.,0.,0.,0.01,0.,0.009
13,0.,0.,0.,0.011,0.,0.011
14,0.,0.,0.,0.012,0.,0.012
15,0.,0.,0.,0.028,0.,0.028
16,0.,0.,0.,0.016,0.,0.016
17,0.,0.,0.,0.019,0.,0.019
18,0.,0.,0.,0.02,0.,0.02
19,0.,0.,0.,0.022,0.,0.022
20,0.,0.,0.,0.024,0.,0.024
21,0.,0.,0.,0.028,0.,0.028
22,0.,0.,0.,0.03,0.,0.03
23,0.,0.,0.,0.037,0.,0.037
24,0.,0.,0.,0.037,0.,0.037
25,0.,0.,0.,0.046,0.003,0.042
26,0.,0.,0.,0.042,0.,0.042
27,0.,0.,0.,0.048,0.,0.048
28,0.,0.,0.,0.105,0.,0.105
29,0.,0.,0.,0.056,0.,0.056
30,0.,0.,0.,0.088,0.,0.088
31,0.,0.,0.,0.08,0.,0.08
32,0.,0.,0.,0.071,0.,0.071
33,0.,0.,0.,0.078,0.,0.078
34,0.,0.,0.,0.089,0.,0.089
35,0.,0.,0.,0.093,0.,0.093
36,0.,0.,0.,0.096,0.,0.096
37,0.,0.,0.,0.196,0.003,0.192
38,0.,0.,0.,0.11,0.,0.11
39,0.,0.,0.,0.116,0.,0.116
40,0.,0.,0.,0.126,0.,0.126
41,0.,0.,0.,0.134,0.,0.134
42,0.,0.,0.,0.143,0.,0.143
43,0.,0.,0.,0.15,0.,0.15
44,0.,0.,0.,0.159,0.,0.159
45,0.,0.,0.,0.17,0.,0.17
46,0.,0.,0.,0.18,0.,0.18
47,0.,0.,0.,0.191,0.,0.191
48,0.,0.,0.,0.202,0.,0.202
49,0.,0.,0.,0.211,0.,0.211
50,0.,0.,0.,0.233,0.,0.233
51,0.,0.,0.,0.24,0.,0.24
52,0.,0.,0.,0.261,0.,0.261
53,0.001,0.,0.001,0.269,0.003,0.265
54,0.,0.,0.,0.287,0.,0.287
55,0.001,0.,0.001,0.299,0.,0.299
56,0.001,0.,0.001,0.32,0.,0.32
57,0.001,0.,0.001,0.339,0.003,0.335
58,0.001,0.,0.001,0.353,0.003,0.349
59,0.001,0.,0.001,0.371,0.,0.371
60,0.001,0.,0.001,0.385,0.,0.385
61,0.001,0.,0.001,0.404,0.003,0.4
62,0.001,0.,0.001,0.416,0.003,0.412
63,0.001,0.,0.001,0.437,0.,0.437
64,0.001,0.,0.001,0.458,0.,0.458
65,0.001,0.,0.001,0.486,0.,0.486
66,0.001,0.,0.001,0.504,0.,0.504
67,0.001,0.,0.001,0.528,0.,0.528
68,0.001,0.,0.001,0.552,0.,0.552
69,0.001,0.,0.001,0.582,0.003,0.578
70,0.001,0.,0.001,0.614,0.,0.614
71,0.001,0.,0.001,0.635,0.,0.635
72,0.001,0.,0.001,0.669,0.,0.669
73,0.001,0.,0.001,0.695,0.,0.695
74,0.001,0.,0.001,0.717,0.,0.717
75,0.001,0.,0.001,0.754,0.,0.754
76,0.001,0.,0.001,0.779,0.,0.779
77,0.001,0.,0.001,0.802,0.003,0.798
78,0.001,0.,0.001,0.871,0.,0.871
79,0.001,0.,0.001,0.872,0.,0.872
80,0.001,0.,0.001,0.902,0.,0.902
81,0.001,0.,0.001,0.935,0.,0.935
82,0.001,0.,0.001,0.98,0.,0.98
83,0.001,0.,0.001,1.024,0.,1.024
84,0.001,0.,0.001,1.065,0.,1.065
85,0.001,0.,0.001,1.107,0.003,1.103
86,0.001,0.,0.001,1.155,0.,1.155
87,0.001,0.,0.001,1.192,0.,1.192
88,0.001,0.,0.001,1.225,0.,1.225
89,0.001,0.,0.001,1.255,0.003,1.251
90,0.001,0.,0.001,1.303,0.,1.303
91,0.001,0.,0.001,1.352,0.,1.352
92,0.001,0.,0.001,1.418,0.,1.418
93,0.001,0.,0.001,1.473,0.,1.473
94,0.001,0.,0.001,1.519,0.,1.519
95,0.001,0.,0.001,1.57,0.,1.57
96,0.001,0.,0.001,1.614,0.,1.614
97,0.001,0.,0.001,1.657,0.,1.657
98,0.001,0.,0.001,1.73,0.,1.73
99,0.001,0.,0.001,1.762,0.,1.762
100,0.001,0.,0.001,1.848,0.,1.848
110,0.001,0.,0.001,2.87,0.031,2.839
120,0.001,0.,0.001,3.456,0.007,3.448
130,0.002,0.,0.002,4.538,0.003,4.534
140,0.002,0.,0.002,5.894,0.004,5.89
150,0.002,0.,0.002,7.431,0.003,7.426
160,0.002,0.,0.002,9.142,0.007,9.133
170,0.002,0.,0.002,11.312,0.008,11.303
180,0.002,0.,0.002,13.554,0.,13.552
190,0.003,0.,0.003,16.386,0.,16.385
200,0.003,0.,0.003,19.577,0.,19.575
