param-n,zify-big-context-regression-quadratic-real,zify-big-context-regression-quadratic-sys,zify-big-context-regression-quadratic-user
1,0.,0.,0.
2,0.,0.,0.
3,0.,0.,0.
4,0.,0.,0.
5,0.,0.,0.
6,0.,0.,0.
7,0.,0.,0.
8,0.,0.,0.
9,0.,0.,0.
10,0.,0.,0.
11,0.001,0.,0.001
12,0.001,0.,0.
13,0.001,0.,0.001
14,0.001,0.,0.001
15,0.001,0.,0.
16,0.001,0.001,0.
17,0.002,0.001,0.001
18,0.002,0.001,0.
19,0.002,0.001,0.001
20,0.002,0.001,0.001
21,0.002,0.002,0.
22,0.035,0.002,0.032
23,0.002,0.,0.002
24,0.002,0.,0.002
25,0.002,0.,0.002
26,0.002,0.,0.002
27,0.002,0.,0.002
28,0.003,0.,0.003
29,0.017,0.,0.017
30,0.003,0.,0.003
31,0.003,0.,0.003
32,0.003,0.,0.003
33,0.003,0.,0.003
34,0.004,0.,0.004
35,0.005,0.,0.005
36,0.004,0.,0.004
37,0.004,0.,0.004
38,0.005,0.,0.005
39,0.005,0.,0.005
40,0.005,0.,0.005
41,0.005,0.,0.005
42,0.007,0.,0.007
43,0.006,0.,0.006
44,0.006,0.,0.006
45,0.007,0.,0.007
50,0.012,0.004,0.007
100,0.08,0.014,0.065
150,0.085,0.,0.085
200,0.168,0.004,0.164
