param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.002,0.,0.002,0.002,0.,0.002,0.002,0.001,0.001
20,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005
30,0.007,0.,0.007,0.041,0.011,0.03,0.01,0.,0.01
40,0.025,0.,0.025,0.011,0.,0.011,0.011,0.,0.011
50,0.017,0.,0.017,0.054,0.008,0.045,0.022,0.003,0.018
60,0.022,0.,0.022,0.023,0.,0.023,0.023,0.,0.022
70,0.034,0.,0.034,0.03,0.,0.03,0.03,0.,0.03
80,0.038,0.,0.038,0.044,0.,0.044,0.039,0.,0.039
90,0.073,0.,0.073,0.101,0.,0.101,0.048,0.,0.048
100,0.063,0.,0.063,0.059,0.,0.059,0.074,0.,0.074
110,0.069,0.,0.069,0.07,0.,0.07,0.09,0.,0.09
120,0.135,0.,0.135,0.088,0.,0.088,0.087,0.,0.087
130,0.095,0.,0.095,0.115,0.,0.115,0.122,0.,0.122
140,0.111,0.,0.111,0.112,0.,0.112,0.112,0.,0.112
150,0.171,0.,0.171,0.179,0.,0.179,0.137,0.,0.137
160,0.145,0.,0.145,0.146,0.,0.146,0.146,0.,0.146
170,0.164,0.,0.164,0.164,0.,0.164,0.164,0.,0.164
180,0.185,0.,0.185,0.184,0.,0.184,0.185,0.,0.185
190,0.207,0.,0.206,0.208,0.,0.208,0.208,0.,0.208
200,0.243,0.,0.243,0.31,0.,0.31,0.247,0.,0.247
