param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
1,0.001,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.001,0.
2,0.002,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.001,0.
10,0.01,0.,0.009,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.001,0.01,0.,0.01,0.008,0.,0.008
20,0.023,0.003,0.019,0.005,0.,0.005,0.04,0.,0.04,0.005,0.003,0.002,0.023,0.002,0.02,0.017,0.003,0.014
30,0.067,0.003,0.063,0.007,0.,0.007,0.007,0.,0.007,0.01,0.004,0.005,0.046,0.,0.045,0.059,0.003,0.055
40,0.07,0.,0.07,0.012,0.,0.012,0.011,0.,0.011,0.015,0.002,0.013,0.054,0.003,0.05,0.057,0.,0.057
50,0.145,0.012,0.132,0.033,0.,0.033,0.018,0.,0.018,0.023,0.007,0.015,0.142,0.012,0.13,0.111,0.012,0.099
60,0.121,0.,0.121,0.027,0.,0.027,0.023,0.,0.022,0.061,0.004,0.057,0.117,0.003,0.114,0.094,0.,0.094
70,0.22,0.,0.22,0.092,0.,0.092,0.031,0.,0.031,0.045,0.,0.045,0.217,0.,0.217,0.127,0.,0.127
80,0.24,0.,0.24,0.046,0.,0.046,0.039,0.,0.039,0.04,0.,0.04,0.237,0.003,0.233,0.193,0.,0.193
90,0.325,0.,0.325,0.114,0.,0.114,0.05,0.,0.05,0.049,0.,0.049,0.326,0.,0.326,0.21,0.,0.21
100,0.404,0.,0.404,0.131,0.,0.131,0.123,0.,0.123,0.115,0.015,0.099,0.33,0.,0.33,0.272,0.,0.272
110,0.439,0.,0.439,0.089,0.,0.089,0.069,0.,0.069,0.077,0.,0.077,0.425,0.003,0.421,0.349,0.,0.349
120,0.457,0.,0.457,0.095,0.,0.095,0.083,0.,0.083,0.091,0.,0.091,0.453,0.,0.453,0.36,0.,0.36
130,0.564,0.,0.564,0.112,0.,0.112,0.1,0.,0.1,0.153,0.,0.153,0.574,0.003,0.57,0.451,0.,0.451
140,0.681,0.003,0.677,0.13,0.003,0.127,0.116,0.,0.116,0.144,0.,0.144,0.684,0.,0.684,0.55,0.,0.55
150,0.969,0.003,0.965,0.194,0.003,0.191,0.141,0.,0.141,0.133,0.,0.133,0.937,0.003,0.933,0.774,0.,0.774
160,0.902,0.,0.902,0.167,0.,0.167,0.152,0.,0.152,0.172,0.,0.172,0.925,0.003,0.921,0.734,0.,0.734
170,1.024,0.,1.024,0.189,0.,0.189,0.17,0.,0.17,0.184,0.,0.182,1.024,0.011,1.012,0.834,0.,0.834
180,1.144,0.007,1.136,0.21,0.,0.21,0.192,0.,0.192,0.272,0.,0.272,1.151,0.,1.151,0.932,0.007,0.924
190,1.307,0.,1.307,0.237,0.,0.237,0.215,0.,0.215,0.231,0.,0.231,1.287,0.,1.286,1.07,0.,1.07
200,1.543,0.007,1.535,0.267,0.,0.267,0.24,0.,0.239,0.248,0.,0.248,1.503,0.,1.503,1.274,0.007,1.266
210,1.728,0.003,1.724,0.285,0.,0.285,0.266,0.,0.266,0.26,0.,0.26,1.666,0.007,1.658,1.443,0.003,1.439
220,1.876,0.003,1.872,0.309,0.,0.309,0.295,0.,0.295,0.285,0.,0.285,1.901,0.,1.901,1.566,0.003,1.562
230,2.417,0.,2.417,0.343,0.,0.343,0.321,0.,0.321,0.315,0.,0.315,1.973,0.,1.973,2.073,0.,2.073
240,2.392,0.,2.392,0.369,0.,0.369,0.358,0.,0.358,0.347,0.,0.347,2.355,0.,2.355,2.022,0.,2.022
250,2.599,0.,2.598,0.398,0.,0.398,0.389,0.,0.389,0.381,0.003,0.377,2.443,0.003,2.439,2.2,0.,2.2
300,4.033,0.003,4.028,0.568,0.,0.568,0.556,0.,0.556,0.569,0.004,0.565,3.986,0.,3.986,3.464,0.003,3.46
400,8.215,0.011,8.203,0.993,0.,0.993,1.083,0.,1.083,1.055,0.,1.055,8.874,0.007,8.866,7.221,0.011,7.208
