param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.003,0.,0.003,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.002,0.,0.002
1,0.004,0.003,0.,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.003,0.,0.003,0.,0.003
2,0.007,0.,0.007,0.007,0.,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.005,0.,0.005
3,0.011,0.,0.011,0.011,0.001,0.01,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.01,0.,0.01,0.009,0.,0.009
4,0.014,0.,0.014,0.013,0.003,0.01,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.,0.012,0.,0.012,0.011,0.002,0.008
5,0.05,0.019,0.031,0.019,0.004,0.014,0.032,0.009,0.023,0.001,0.,0.001,0.002,0.002,0.,0.001,0.,0.001,0.015,0.007,0.008,0.016,0.004,0.012
6,0.018,0.,0.017,0.05,0.003,0.046,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.,0.001,0.015,0.,0.015,0.047,0.003,0.044
7,0.036,0.,0.036,0.036,0.,0.036,0.001,0.,0.001,0.,0.,0.,0.001,0.,0.001,0.001,0.,0.001,0.033,0.,0.033,0.033,0.,0.033
8,0.027,0.,0.027,0.027,0.,0.027,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.024,0.,0.024,0.024,0.,0.024
9,0.032,0.,0.032,0.032,0.,0.032,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.029,0.,0.029,0.029,0.,0.029
10,0.083,0.013,0.07,0.086,0.016,0.07,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.001,0.079,0.012,0.067,0.083,0.015,0.067
11,0.045,0.,0.045,0.045,0.,0.045,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.041,0.,0.041,0.041,0.,0.041
12,0.057,0.,0.057,0.057,0.,0.057,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.052,0.,0.052,0.052,0.,0.052
13,0.066,0.,0.066,0.066,0.,0.066,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.06,0.,0.06,0.061,0.,0.061
14,0.07,0.,0.07,0.07,0.,0.07,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.064,0.,0.064,0.065,0.,0.065
15,0.129,0.,0.129,0.13,0.,0.13,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.123,0.,0.123,0.124,0.,0.124
16,0.135,0.,0.135,0.115,0.,0.115,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.128,0.,0.128,0.109,0.,0.109
17,0.099,0.,0.099,0.124,0.,0.124,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.092,0.,0.092,0.117,0.,0.117
18,0.12,0.,0.12,0.118,0.,0.118,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.112,0.,0.112,0.11,0.,0.11
19,0.176,0.,0.176,0.184,0.,0.184,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.168,0.,0.168,0.176,0.,0.176
20,0.15,0.,0.15,0.158,0.,0.158,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.141,0.,0.141,0.149,0.,0.149
21,0.202,0.,0.202,0.203,0.,0.203,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.193,0.,0.193,0.193,0.,0.193
22,0.171,0.,0.171,0.172,0.,0.172,0.004,0.,0.004,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.161,0.,0.161,0.162,0.,0.162
23,0.188,0.,0.188,0.19,0.,0.19,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.178,0.,0.178,0.18,0.,0.18
24,0.207,0.003,0.204,0.209,0.,0.209,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.196,0.003,0.193,0.198,0.,0.198
25,0.226,0.,0.226,0.23,0.,0.23,0.005,0.,0.005,0.006,0.,0.006,0.005,0.,0.005,0.005,0.,0.005,0.214,0.,0.214,0.217,0.,0.217
30,0.421,0.,0.421,0.438,0.,0.438,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.007,0.,0.007,0.406,0.,0.406,0.422,0.,0.422
35,0.494,0.,0.494,0.497,0.,0.497,0.009,0.,0.009,0.01,0.,0.01,0.01,0.,0.01,0.009,0.,0.009,0.474,0.,0.474,0.477,0.,0.477
40,0.805,0.,0.805,0.824,0.,0.824,0.012,0.,0.012,0.013,0.,0.013,0.012,0.,0.012,0.011,0.,0.011,0.78,0.,0.78,0.798,0.,0.798
45,0.919,0.,0.919,0.927,0.,0.927,0.015,0.,0.015,0.017,0.,0.017,0.013,0.,0.013,0.014,0.,0.014,0.889,0.,0.889,0.894,0.,0.894
50,1.211,0.,1.21,1.223,0.,1.223,0.019,0.,0.019,0.018,0.,0.018,0.016,0.,0.016,0.018,0.,0.018,1.174,0.,1.174,1.185,0.,1.185
