param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.001,0.
2,0.,0.,0.,0.002,0.,0.002
3,0.,0.,0.,0.002,0.,0.002
4,0.,0.,0.,0.003,0.003,0.
5,0.,0.,0.,0.004,0.004,0.
6,0.,0.,0.,0.005,0.002,0.002
7,0.,0.,0.,0.006,0.,0.005
8,0.,0.,0.,0.006,0.003,0.002
9,0.,0.,0.,0.007,0.,0.007
10,0.,0.,0.,0.047,0.007,0.04
11,0.,0.,0.,0.008,0.,0.008
12,0.,0.,0.,0.008,0.,0.008
13,0.,0.,0.,0.009,0.,0.009
14,0.,0.,0.,0.024,0.,0.024
15,0.,0.,0.,0.011,0.,0.011
16,0.,0.,0.,0.012,0.,0.012
17,0.,0.,0.,0.013,0.,0.013
18,0.,0.,0.,0.015,0.003,0.012
19,0.,0.,0.,0.016,0.,0.016
20,0.,0.,0.,0.017,0.,0.017
21,0.,0.,0.,0.018,0.,0.018
22,0.001,0.,0.001,0.021,0.,0.021
23,0.001,0.,0.001,0.021,0.,0.021
24,0.001,0.,0.001,0.026,0.,0.026
25,0.001,0.,0.001,0.023,0.,0.023
26,0.001,0.,0.001,0.026,0.,0.026
27,0.001,0.,0.001,0.026,0.,0.026
28,0.001,0.,0.001,0.034,0.,0.034
29,0.001,0.,0.001,0.03,0.,0.03
30,0.001,0.,0.001,0.033,0.,0.033
31,0.001,0.,0.001,0.033,0.,0.033
32,0.001,0.,0.001,0.092,0.,0.092
33,0.001,0.,0.001,0.038,0.,0.038
34,0.001,0.,0.001,0.067,0.,0.067
35,0.001,0.,0.001,0.042,0.,0.042
36,0.001,0.,0.001,0.056,0.,0.056
37,0.001,0.,0.001,0.045,0.,0.045
38,0.001,0.,0.001,0.046,0.,0.046
39,0.001,0.,0.001,0.049,0.,0.049
40,0.001,0.,0.001,0.058,0.,0.058
41,0.001,0.,0.001,0.06,0.,0.06
42,0.001,0.,0.001,0.054,0.,0.054
43,0.001,0.,0.001,0.06,0.,0.06
44,0.001,0.,0.001,0.12,0.,0.12
45,0.001,0.,0.001,0.095,0.,0.095
46,0.001,0.,0.001,0.075,0.,0.075
47,0.001,0.,0.001,0.068,0.,0.068
48,0.001,0.,0.001,0.072,0.,0.072
49,0.001,0.,0.001,0.078,0.,0.078
50,0.003,0.,0.003,0.074,0.,0.074
51,0.002,0.,0.002,0.077,0.,0.077
52,0.002,0.,0.002,0.08,0.,0.08
53,0.002,0.,0.002,0.083,0.,0.083
54,0.002,0.,0.002,0.085,0.,0.085
55,0.002,0.,0.002,0.088,0.,0.088
56,0.002,0.,0.002,0.091,0.,0.091
57,0.002,0.,0.002,0.096,0.,0.096
58,0.002,0.,0.002,0.102,0.,0.102
59,0.002,0.,0.002,0.105,0.,0.105
60,0.002,0.,0.002,0.109,0.,0.109
61,0.002,0.,0.002,0.11,0.,0.11
62,0.002,0.,0.002,0.125,0.,0.125
63,0.002,0.,0.002,0.118,0.003,0.114
64,0.002,0.,0.002,0.121,0.,0.121
65,0.002,0.002,0.,0.137,0.,0.137
66,0.004,0.,0.004,0.13,0.,0.13
