param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.
32,5,0.002,0.,0.002,0.001,0.,0.001,0.,0.,0.
64,6,0.004,0.,0.004,0.002,0.,0.002,0.001,0.,0.001
128,7,0.008,0.,0.008,0.005,0.,0.005,0.002,0.,0.002
256,8,0.057,0.007,0.05,0.05,0.003,0.047,0.006,0.003,0.002
512,9,0.048,0.004,0.044,0.038,0.004,0.034,0.01,0.,0.01
1024,10,0.073,0.,0.073,0.051,0.,0.051,0.021,0.,0.021
2048,11,0.17,0.,0.17,0.125,0.,0.125,0.044,0.,0.044
4096,12,0.42,0.007,0.413,0.308,0.,0.308,0.111,0.007,0.104
8192,13,0.941,0.,0.941,0.661,0.,0.661,0.28,0.,0.28
16384,14,1.998,0.019,1.978,1.442,0.019,1.422,0.555,0.,0.555
