param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.001,0.,0.001,0.002,0.002,0.
1,0.,0.,0.,0.,0.,0.,0.001,0.001,0.
2,0.001,0.001,0.,0.001,0.,0.001,0.001,0.001,0.
3,0.002,0.001,0.,0.002,0.,0.002,0.002,0.002,0.
4,0.002,0.,0.002,0.002,0.,0.002,0.002,0.001,0.001
5,0.005,0.,0.004,0.005,0.003,0.001,0.005,0.,0.004
6,0.005,0.,0.005,0.005,0.,0.005,0.004,0.002,0.001
7,0.005,0.,0.005,0.005,0.004,0.,0.005,0.004,0.
8,0.006,0.,0.006,0.006,0.,0.006,0.005,0.003,0.002
9,0.007,0.,0.007,0.007,0.007,0.,0.006,0.,0.005
10,0.009,0.,0.009,0.008,0.,0.008,0.049,0.007,0.042
11,0.051,0.011,0.04,0.052,0.,0.052,0.006,0.,0.006
12,0.054,0.003,0.05,0.053,0.006,0.046,0.007,0.004,0.002
13,0.01,0.,0.01,0.01,0.,0.01,0.009,0.,0.009
14,,,,0.011,0.,0.011,0.023,0.,0.023
15,0.013,0.,0.013,0.013,0.,0.013,0.009,0.,0.009
16,,,,,,,0.01,0.,0.01
17,,,,,,,0.011,0.,0.011
18,,,,,,,0.012,0.,0.012
19,,,,,,,0.013,0.,0.013
20,0.037,0.,0.037,,,,0.014,0.,0.014
21,,,,,,,0.015,0.,0.015
22,,,,0.043,0.,0.043,0.023,0.011,0.011
23,,,,,,,0.018,0.,0.018
24,,,,,,,0.018,0.,0.018
25,,,,,,,0.024,0.,0.024
26,0.041,0.,0.041,,,,0.022,0.,0.022
27,,,,,,,0.022,0.,0.022
28,,,,,,,0.03,0.,0.03
29,,,,,,,0.025,0.,0.025
30,,,,0.058,0.,0.058,0.027,0.,0.027
31,,,,,,,0.086,0.,0.086
32,,,,,,,0.031,0.,0.031
33,0.072,0.,0.072,,,,0.032,0.,0.032
34,,,,,,,0.064,0.,0.064
35,,,,,,,0.052,0.,0.052
36,,,,,,,0.038,0.,0.038
37,,,,0.101,0.,0.101,0.039,0.,0.039
38,,,,,,,0.041,0.,0.041
39,0.119,0.,0.119,,,,0.048,0.,0.048
40,,,,,,,0.051,0.,0.051
41,,,,,,,0.046,0.,0.046
42,,,,,,,0.049,0.,0.049
43,,,,,,,0.111,0.,0.111
44,,,,,,,0.114,0.,0.114
45,,,,0.166,0.,0.166,0.085,0.,0.085
46,0.223,0.,0.223,,,,0.073,0.,0.073
47,,,,,,,0.06,0.,0.06
48,,,,,,,0.062,0.,0.062
49,,,,,,,0.067,0.,0.067
50,,,,,,,0.07,0.,0.07
51,,,,,,,0.073,0.,0.073
52,0.278,0.,0.278,,,,,,
53,,,,0.348,0.,0.348,0.078,0.,0.078
54,,,,,,,0.08,0.,0.08
55,,,,,,,0.082,0.,0.082
56,,,,,,,0.089,0.,0.089
58,,,,,,,0.093,0.,0.093
59,,,,,,,0.097,0.,0.097
60,,,,,,,0.099,0.,0.099
61,,,,,,,0.103,0.,0.103
62,0.469,0.,0.469,,,,,,
63,,,,0.498,0.003,0.495,0.108,0.,0.108
64,,,,,,,0.11,0.,0.11
65,,,,,,,0.114,0.,0.114
66,,,,,,,0.121,0.,0.121
68,,,,,,,0.132,0.,0.132
69,,,,,,,0.134,0.,0.134
70,,,,,,,0.137,0.003,0.133
71,,,,,,,0.146,0.,0.146
73,0.596,0.,0.596,,,,0.152,0.,0.152
74,,,,0.636,0.,0.636,0.151,0.,0.151
75,,,,,,,0.163,0.,0.163
78,,,,,,,0.185,0.,0.185
80,,,,,,,0.18,0.,0.18
83,0.851,0.003,0.848,,,,0.195,0.,0.195
84,,,,0.896,0.,0.896,,,
85,,,,,,,0.204,0.,0.204
88,,,,,,,0.221,0.003,0.217
90,,,,,,,0.225,0.,0.225
93,,,,,,,0.245,0.,0.245
94,1.212,0.,1.212,,,,,,
95,,,,1.281,0.,1.281,0.253,0.,0.253
98,,,,,,,0.268,0.,0.268
100,,,,,,,0.271,0.,0.271
104,1.667,0.003,1.663,,,,,,
105,,,,1.717,0.,1.717,,,
106,,,,,,,0.418,0.,0.418
120,,,,,,,0.4,0.,0.4
140,,,,,,,0.57,0.,0.569
159,,,,,,,0.763,0.,0.763
179,,,,,,,1.018,0.003,1.014
199,,,,,,,1.261,0.003,1.257
