param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08011,0.00015,0.00034,0.00005,0.164,0.023,0.061,0.08195,0.00016,0.00035,0.00005,0.082,0.,0.001,0.,0.,0.,0.,0.,0.
3,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08109,0.00013,0.00034,0.00005,0.081,0.,0.001,0.08095,0.00016,0.00036,0.00005,0.081,0.,0.001,0.001,0.,0.001,0.,0.,0.
4,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.08118,0.00013,0.00034,0.00005,0.081,0.,0.001,0.08189,0.00016,0.00036,0.00006,0.082,0.,0.001,0.002,0.,0.002,0.,0.,0.
5,0.004,0.,0.004,0.,0.,0.,0.,0.,0.,0.08164,0.00013,0.00035,0.00005,0.082,0.,0.001,0.08279,0.00016,0.00045,0.00006,0.083,0.,0.001,0.003,0.,0.003,0.,0.,0.
6,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.08215,0.00014,0.00040,0.00006,0.082,0.001,0.,0.08085,0.00016,0.00037,0.00005,0.081,0.001,0.,0.005,0.,0.005,0.,0.,0.
7,0.027,0.,0.027,0.,0.,0.,0.,0.,0.,0.08158,0.00013,0.00036,0.00008,0.082,0.,0.001,0.08049,0.00021,0.00036,0.00006,0.081,0.,0.001,0.007,0.,0.007,0.,0.,0.
8,0.015,0.,0.015,0.,0.,0.,0.,0.,0.,0.08029,0.00014,0.00035,0.00006,0.08,0.001,0.,0.08164,0.00016,0.00036,0.00006,0.082,0.001,0.,0.024,0.,0.024,0.,0.,0.
9,0.029,0.,0.029,0.,0.,0.,0.,0.,0.,0.08120,0.00016,0.00036,0.00006,0.081,0.,0.001,0.08111,0.00016,0.00040,0.00006,0.081,0.,0.001,0.013,0.,0.013,0.,0.,0.
10,0.026,0.,0.026,0.,0.,0.,0.,0.,0.,0.08024,0.00014,0.00035,0.00006,0.08,0.,0.001,0.07998,0.00016,0.00037,0.00006,0.08,0.,0.001,0.017,0.,0.017,0.,0.,0.
11,0.047,0.,0.047,0.,0.,0.,,,,,,,,,,,,,,,,,,0.021,0.,0.021,,,
