param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
16383,13,0.006,0.,0.006,0.007,0.,0.007,0.007,0.003,0.003,0.02,0.,0.02
32767,14,0.014,0.,0.013,0.013,0.,0.013,0.039,0.003,0.036,0.013,0.,0.013
65535,15,0.03,0.,0.03,0.051,0.,0.051,0.027,0.,0.027,0.027,0.,0.027
131071,16,0.105,0.004,0.101,0.19,0.,0.19,0.066,0.,0.066,0.085,0.,0.085
262143,17,0.209,0.003,0.205,0.263,0.,0.263,0.126,0.,0.126,0.167,0.,0.167
524287,18,0.547,0.012,0.535,0.256,0.,0.256,0.257,0.,0.257,0.259,0.,0.259
1048575,19,0.794,0.011,0.782,0.555,0.,0.555,0.541,0.,0.541,0.525,0.,0.525
2097151,20,1.395,0.,1.394,1.063,0.,1.063,1.077,0.,1.077,1.079,0.,1.079
4194303,21,2.456,0.003,2.451,2.112,0.,2.111,2.094,0.,2.094,2.087,0.,2.087
8388607,22,4.917,0.,4.916,4.181,0.,4.181,4.184,0.,4.184,4.24,0.,4.24
