param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,0.
10,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
20,0.008,0.,0.008,0.079,0.011,0.067,0.012,0.007,0.004
30,0.021,0.,0.021,0.022,0.,0.022,0.021,0.,0.021
40,0.044,0.,0.044,0.046,0.,0.046,0.045,0.,0.045
50,0.077,0.,0.077,0.078,0.,0.078,0.135,0.019,0.115
60,0.133,0.,0.133,0.136,0.,0.136,0.137,0.,0.137
70,0.211,0.,0.211,0.209,0.,0.209,0.206,0.,0.206
80,0.312,0.,0.312,0.295,0.,0.295,0.311,0.,0.311
90,0.438,0.,0.438,0.425,0.,0.425,0.434,0.,0.434
100,0.588,0.,0.588,0.572,0.,0.572,0.58,0.,0.58
110,0.791,0.,0.791,0.783,0.,0.783,0.784,0.,0.784
120,1.023,0.,1.022,1.02,0.,1.02,1.022,0.,1.022
130,1.309,0.,1.309,1.319,0.,1.319,1.297,0.,1.297
140,1.617,0.,1.617,1.625,0.,1.624,1.631,0.,1.631
150,1.951,0.,1.951,1.959,0.,1.959,1.953,0.,1.953
160,2.401,0.,2.401,2.414,0.,2.414,2.378,0.,2.378
170,2.855,0.,2.855,2.879,0.,2.879,2.899,0.,2.899
180,3.397,0.,3.397,3.412,0.,3.411,3.363,0.,3.363
190,4.037,0.,4.037,4.018,0.003,4.013,3.982,0.003,3.978
200,4.594,0.,4.593,4.594,0.,4.594,4.645,0.,4.644
