param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.001,0.,0.,0.,0.,0.
32,5,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.
64,6,0.,0.,0.,0.005,0.,0.005,0.002,0.,0.002
128,7,0.,0.,0.,0.018,0.,0.018,0.005,0.,0.005
256,8,0.,0.,0.,0.024,0.,0.024,0.009,0.,0.009
512,9,0.,0.,0.,0.07,0.,0.07,0.019,0.,0.019
1024,10,0.,0.,0.,0.157,0.,0.157,0.041,0.,0.041
2048,11,0.,0.,0.,0.674,0.,0.674,0.107,0.,0.107
4096,12,0.,0.,0.,2.302,0.003,2.299,0.215,0.,0.215
8192,13,0.,0.,0.,9.021,0.019,9.001,0.444,0.008,0.436
16384,14,0.,0.,0.,30.006,0.063,29.937,1.149,0.012,1.137
