param-n,abstract+setoid-rewrite-regression-cubic-real,abstract+setoid-rewrite-regression-cubic-sys,abstract+setoid-rewrite-regression-cubic-user,close-abstract+setoid-rewrite-regression-quadratic-real,close-abstract+setoid-rewrite-regression-quadratic-sys,close-abstract+setoid-rewrite-regression-quadratic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user,noop-try-setoid-rewrite-regression-cubic-real,noop-try-setoid-rewrite-regression-cubic-sys,noop-try-setoid-rewrite-regression-cubic-user,repeat-setoid-rewrite-regression-cubic-real,repeat-setoid-rewrite-regression-cubic-sys,repeat-setoid-rewrite-regression-cubic-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.,0.,0.
1,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001
2,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.003,0.,0.003,0.002,0.,0.002
10,0.013,0.,0.013,0.003,0.,0.003,0.004,0.,0.004,0.004,0.,0.004,0.013,0.,0.013,0.009,0.,0.009
20,0.038,0.,0.038,0.01,0.,0.01,0.013,0.,0.013,0.014,0.,0.014,0.039,0.,0.039,0.027,0.,0.027
30,0.087,0.003,0.083,0.028,0.003,0.024,0.044,0.,0.044,0.035,0.,0.035,0.098,0.,0.098,0.059,0.,0.059
40,0.16,0.,0.16,0.036,0.,0.036,0.158,0.,0.158,0.079,0.,0.079,0.192,0.,0.192,0.123,0.,0.123
50,0.244,0.,0.244,0.058,0.,0.058,0.235,0.003,0.231,0.137,0.,0.137,0.325,0.,0.325,0.186,0.,0.185
60,0.494,0.,0.494,0.078,0.,0.078,0.302,0.,0.302,0.244,0.,0.244,0.493,0.,0.493,0.415,0.,0.415
70,0.669,0.003,0.665,0.124,0.003,0.12,0.327,0.,0.327,0.445,0.004,0.441,0.899,0.,0.899,0.545,0.,0.545
80,0.862,0.003,0.858,0.151,0.,0.151,0.478,0.,0.478,0.608,0.,0.608,1.071,0.003,1.067,0.71,0.003,0.706
90,0.974,0.004,0.97,0.153,0.,0.153,0.657,0.,0.657,0.818,0.,0.818,1.45,0.,1.45,0.82,0.004,0.816
100,1.484,0.007,1.476,0.188,0.,0.188,0.896,0.,0.896,1.082,0.003,1.076,2.25,0.007,2.242,1.296,0.007,1.287
110,1.618,0.,1.618,0.218,0.,0.218,1.18,0.,1.18,1.229,0.,1.229,2.52,0.003,2.516,1.399,0.,1.399
120,2.049,0.004,2.045,0.286,0.,0.286,1.571,0.,1.571,1.544,0.,1.544,3.265,0.,3.264,1.762,0.003,1.758
130,2.633,0.015,2.617,0.338,0.,0.338,1.977,0.,1.977,1.922,0.,1.922,4.176,0.,4.175,2.294,0.015,2.277
140,3.175,0.011,3.163,0.382,0.,0.382,2.403,0.,2.403,2.412,0.,2.412,5.058,0.003,5.054,2.793,0.011,2.78
150,3.677,0.003,3.672,0.389,0.,0.389,2.936,0.,2.936,3.221,0.,3.221,6.14,0.003,6.135,3.287,0.003,3.283
160,4.372,0.011,4.36,0.443,0.,0.443,3.563,0.,3.562,3.568,0.,3.567,7.362,0.007,7.353,3.929,0.011,3.916
170,5.027,0.015,5.009,0.488,0.,0.488,4.444,0.,4.444,4.276,0.,4.275,9.02,0.,9.019,4.538,0.015,4.52
180,5.998,0.,5.997,0.619,0.,0.618,5.096,0.,5.094,5.076,0.,5.075,10.68,0.007,10.672,5.379,0.,5.378
190,7.099,0.015,7.08,0.639,0.,0.637,5.924,0.003,5.919,5.934,0.,5.934,12.198,0.003,12.193,6.458,0.015,6.442
200,7.946,0.007,7.935,0.754,0.,0.754,7.127,0.004,7.123,6.917,0.,6.916,14.473,0.015,14.456,7.191,0.007,7.18
210,9.158,0.007,9.149,0.756,0.,0.756,8.217,0.003,8.213,8.073,0.003,8.066,16.453,0.,16.452,8.401,0.007,8.392
220,10.442,0.008,10.433,0.93,0.,0.93,9.254,0.,9.253,9.266,0.003,9.261,18.897,0.008,18.887,9.511,0.007,9.502
230,12.291,0.,12.29,0.945,0.,0.944,10.795,0.,10.795,10.543,0.,10.542,21.52,0.003,21.515,11.346,0.,11.344
240,13.476,0.004,13.471,1.021,0.,1.021,11.967,0.,11.966,12.192,0.003,12.187,24.458,0.003,24.451,12.454,0.004,12.449
250,15.214,0.,15.21,1.091,0.,1.089,13.967,0.,13.966,14.031,0.008,14.022,27.573,0.004,27.568,14.121,0.,14.12
300,25.028,0.,25.026,1.683,0.,1.683,24.359,0.011,24.345,24.392,0.023,24.364,48.583,0.003,48.576,23.344,0.,23.342
400,59.561,0.031,59.522,3.019,0.004,3.015,58.012,0.007,58.,56.827,0.028,56.793,114.452,0.02,114.425,56.54,0.027,56.505
