param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.002,0.,0.002,0.002,0.,0.002,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.002,0.,0.001,0.002,0.,0.002
1,0.005,0.,0.005,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.004,0.,0.004,0.004,0.,0.004
2,0.009,0.,0.009,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.007,0.,0.007,0.007,0.,0.007
3,0.014,0.,0.013,0.014,0.,0.013,0.001,0.,0.001,0.001,0.,0.,0.001,0.,0.,0.001,0.,0.,0.011,0.,0.011,0.011,0.,0.011
4,0.019,0.,0.019,0.018,0.,0.018,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.016,0.,0.016,0.015,0.,0.015
5,0.026,0.,0.026,0.025,0.,0.025,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.022,0.,0.022,0.022,0.,0.022
6,0.034,0.,0.034,0.032,0.,0.032,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.029,0.,0.029,0.028,0.,0.028
7,0.049,0.,0.049,0.047,0.,0.047,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.002,0.,0.002,0.044,0.,0.044,0.042,0.,0.042
8,0.068,0.,0.068,0.067,0.,0.067,0.002,0.,0.002,0.002,0.,0.002,0.003,0.,0.003,0.003,0.,0.003,0.062,0.,0.062,0.061,0.,0.061
9,0.069,0.,0.069,0.068,0.,0.068,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.062,0.,0.062,0.061,0.,0.061
10,0.084,0.,0.084,0.085,0.,0.084,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.004,0.,0.004,0.077,0.,0.076,0.077,0.,0.076
11,0.118,0.,0.118,0.118,0.,0.118,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.004,0.,0.004,0.109,0.,0.109,0.108,0.,0.108
12,0.211,0.,0.211,0.216,0.,0.216,0.004,0.,0.004,0.005,0.,0.005,0.005,0.,0.005,0.005,0.,0.005,0.2,0.,0.2,0.205,0.,0.205
13,0.189,0.,0.189,0.17,0.,0.17,0.005,0.,0.005,0.005,0.,0.005,0.006,0.,0.006,0.006,0.,0.006,0.177,0.,0.177,0.158,0.,0.158
14,0.2,0.,0.2,0.196,0.003,0.192,0.005,0.,0.005,0.005,0.,0.005,0.007,0.,0.007,0.007,0.,0.007,0.187,0.,0.187,0.183,0.003,0.179
15,0.333,0.,0.333,0.329,0.,0.329,0.006,0.,0.006,0.007,0.,0.007,0.007,0.,0.007,0.008,0.,0.008,0.317,0.,0.317,0.313,0.,0.313
16,0.28,0.,0.279,0.277,0.,0.277,0.006,0.,0.006,0.007,0.,0.007,0.008,0.,0.008,0.009,0.,0.009,0.264,0.,0.264,0.261,0.,0.261
17,0.425,0.,0.425,0.425,0.,0.425,0.008,0.,0.008,0.008,0.,0.008,0.01,0.,0.01,0.01,0.,0.01,0.406,0.,0.406,0.406,0.,0.406
18,0.383,0.,0.383,0.377,0.,0.377,0.008,0.,0.008,0.008,0.,0.008,0.011,0.,0.011,0.011,0.,0.011,0.363,0.,0.363,0.357,0.,0.357
19,0.421,0.,0.421,0.413,0.,0.413,0.008,0.,0.008,0.009,0.,0.009,0.012,0.,0.012,0.012,0.,0.012,0.4,0.,0.4,0.39,0.,0.39
20,0.611,0.,0.611,0.616,0.,0.616,0.01,0.,0.01,0.01,0.,0.01,0.013,0.,0.013,0.013,0.,0.013,0.586,0.,0.586,0.592,0.,0.592
21,0.569,0.,0.569,0.556,0.,0.556,0.01,0.,0.01,0.011,0.,0.011,0.015,0.,0.015,0.015,0.,0.015,0.543,0.,0.543,0.529,0.,0.529
22,0.654,0.,0.654,0.639,0.,0.639,0.011,0.,0.011,0.011,0.,0.011,0.017,0.,0.017,0.017,0.,0.017,0.625,0.,0.625,0.61,0.,0.61
23,0.746,0.,0.746,0.741,0.,0.741,0.012,0.,0.012,0.013,0.,0.013,0.019,0.,0.019,0.019,0.,0.019,0.714,0.,0.714,0.709,0.,0.709
24,0.849,0.,0.849,0.845,0.,0.844,0.013,0.,0.013,0.013,0.,0.013,0.02,0.,0.02,0.02,0.,0.02,0.814,0.,0.814,0.809,0.,0.809
25,0.956,0.,0.956,0.954,0.,0.954,0.014,0.,0.014,0.014,0.,0.014,0.021,0.,0.021,0.022,0.,0.022,0.92,0.,0.919,0.916,0.,0.916
30,1.978,0.,1.978,2.003,0.,2.003,0.019,0.,0.019,0.019,0.,0.019,0.034,0.,0.034,0.035,0.,0.035,1.924,0.,1.924,1.949,0.,1.949
35,2.961,0.,2.961,2.957,0.007,2.948,0.026,0.,0.026,0.026,0.,0.026,0.051,0.,0.051,0.052,0.,0.052,2.882,0.,2.881,2.878,0.007,2.869
40,4.71,0.,4.71,4.713,0.,4.713,0.032,0.,0.032,0.032,0.,0.032,0.071,0.,0.071,0.071,0.,0.071,4.606,0.,4.606,4.609,0.,4.608
45,7.268,0.003,7.264,7.212,0.003,7.207,0.041,0.,0.04,0.039,0.,0.039,0.1,0.,0.1,0.097,0.,0.097,7.127,0.003,7.122,7.074,0.003,7.069
50,10.615,0.003,10.61,10.667,0.,10.664,0.048,0.,0.048,0.049,0.,0.049,0.13,0.,0.13,0.13,0.,0.13,10.436,0.003,10.431,10.487,0.,10.483
