param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.002,0.,0.002
3,0.,0.,0.,0.003,0.,0.003
4,0.,0.,0.,0.005,0.,0.005
5,0.,0.,0.,0.006,0.,0.006
6,0.,0.,0.,0.008,0.,0.008
7,0.,0.,0.,0.011,0.,0.01
8,0.,0.,0.,0.013,0.,0.013
9,0.,0.,0.,0.016,0.,0.016
10,0.,0.,0.,0.019,0.,0.019
11,0.,0.,0.,0.022,0.,0.022
12,0.,0.,0.,0.035,0.,0.035
13,0.,0.,0.,0.03,0.,0.03
14,0.,0.,0.,0.033,0.,0.033
15,0.,0.,0.,0.049,0.,0.049
16,0.,0.,0.,0.044,0.,0.044
17,0.,0.,0.,0.048,0.,0.048
18,0.,0.,0.,0.071,0.,0.071
19,0.,0.,0.,0.15,0.,0.15
20,0.,0.,0.,0.071,0.,0.071
21,0.,0.,0.,0.095,0.,0.095
22,0.,0.,0.,0.087,0.,0.087
23,0.,0.,0.,0.093,0.,0.093
24,0.,0.,0.,0.117,0.,0.117
25,0.,0.,0.,0.117,0.,0.117
26,0.,0.,0.,0.234,0.,0.234
27,0.,0.,0.,0.155,0.,0.155
28,0.,0.,0.,0.154,0.,0.154
29,0.,0.,0.,0.175,0.,0.175
30,0.,0.,0.,0.191,0.,0.191
31,0.,0.,0.,0.302,0.,0.302
32,0.001,0.,0.001,0.207,0.,0.207
33,0.,0.,0.,0.234,0.,0.234
34,0.,0.,0.,0.252,0.,0.251
35,0.,0.,0.,0.268,0.,0.268
36,0.001,0.,0.001,0.283,0.,0.283
37,0.001,0.,0.001,0.306,0.,0.306
38,0.001,0.,0.001,0.336,0.,0.336
39,0.001,0.,0.001,0.354,0.,0.354
40,0.001,0.,0.001,0.39,0.,0.39
41,0.001,0.,0.001,0.411,0.,0.411
42,0.001,0.,0.001,0.44,0.,0.44
43,0.005,0.,0.005,0.462,0.,0.462
44,0.001,0.,0.001,0.485,0.,0.485
45,0.001,0.,0.001,0.522,0.003,0.518
46,0.001,0.,0.001,0.558,0.,0.558
47,0.001,0.,0.001,0.581,0.,0.581
48,0.001,0.,0.001,0.614,0.003,0.61
49,0.001,0.,0.001,0.646,0.,0.646
50,0.001,0.,0.001,0.687,0.,0.687
51,0.001,0.,0.001,0.729,0.003,0.725
52,0.001,0.,0.001,0.771,0.,0.771
53,0.001,0.,0.001,0.806,0.,0.806
54,0.001,0.,0.001,0.848,0.,0.848
55,0.001,0.,0.001,0.923,0.,0.923
56,0.001,0.,0.001,0.942,0.,0.942
57,0.001,0.,0.001,1.003,0.,1.003
58,0.001,0.,0.001,1.057,0.003,1.053
59,0.001,0.,0.001,1.086,0.003,1.082
60,0.001,0.,0.001,1.15,0.011,1.138
61,0.001,0.,0.001,1.22,0.,1.22
62,0.001,0.,0.001,1.277,0.,1.277
63,0.001,0.,0.001,1.333,0.003,1.329
64,0.001,0.,0.001,1.372,0.,1.372
65,0.001,0.,0.001,1.455,0.,1.455
66,0.001,0.,0.001,1.529,0.,1.529
67,0.001,0.,0.001,1.593,0.,1.593
68,0.001,0.,0.001,1.661,0.,1.661
69,0.001,0.,0.001,1.716,0.,1.716
70,0.001,0.,0.001,1.792,0.,1.792
71,0.001,0.,0.001,1.85,0.,1.85
72,0.001,0.,0.001,1.928,0.,1.928
73,0.002,0.,0.002,2.02,0.,2.02
74,0.002,0.,0.002,2.127,0.,2.127
75,0.002,0.,0.002,2.219,0.003,2.215
76,0.002,0.,0.002,2.292,0.,2.292
77,0.001,0.,0.001,2.363,0.,2.363
78,0.002,0.,0.002,2.466,0.,2.466
79,0.002,0.,0.002,2.542,0.,2.542
80,0.002,0.,0.002,2.679,0.,2.679
81,0.002,0.,0.002,2.771,0.,2.771
82,0.002,0.,0.002,2.913,0.,2.912
83,0.002,0.,0.002,3.008,0.,3.008
84,0.002,0.,0.002,3.032,0.,3.032
85,0.002,0.,0.002,3.231,0.,3.231
86,0.002,0.,0.002,3.341,0.,3.341
87,0.002,0.,0.002,3.447,0.,3.447
88,0.002,0.,0.002,3.58,0.,3.579
89,0.002,0.,0.002,3.703,0.,3.703
90,0.002,0.,0.002,3.793,0.,3.793
91,0.002,0.,0.002,3.966,0.,3.965
92,0.002,0.,0.002,4.095,0.003,4.091
93,0.002,0.,0.002,4.28,0.,4.28
94,0.002,0.,0.002,4.37,0.,4.37
95,0.002,0.,0.002,4.513,0.,4.512
96,0.002,0.,0.002,4.709,0.,4.709
97,0.002,0.,0.002,4.937,0.,4.937
98,0.002,0.,0.002,5.048,0.,5.048
99,0.002,0.,0.002,5.187,0.007,5.178
100,0.002,0.,0.002,5.345,0.,5.345
110,0.002,0.,0.002,7.851,0.02,7.83
120,0.002,0.,0.002,9.849,0.019,9.826
130,0.003,0.,0.003,12.562,0.011,12.549
140,0.003,0.,0.003,15.965,0.008,15.956
150,0.003,0.,0.003,20.58,0.023,20.555
160,0.003,0.,0.003,25.618,0.011,25.602
170,0.003,0.,0.003,30.997,0.,30.995
180,0.004,0.,0.004,38.186,0.003,38.177
190,0.004,0.,0.004,45.955,0.007,45.942
200,0.004,0.,0.004,54.979,0.003,54.969
