param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.,0.,0.,0.,0.,0.,0.,0.,0.
16,4,0.,0.,0.,0.,0.,0.,0.,0.,0.
32,5,0.,0.,0.,0.001,0.,0.001,0.,0.,0.
64,6,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001
128,7,0.,0.,0.,0.044,0.004,0.04,0.003,0.003,0.
256,8,0.,0.,0.,0.016,0.,0.016,0.006,0.,0.006
512,9,0.,0.,0.,0.054,0.,0.054,0.012,0.,0.012
1024,10,0.,0.,0.,0.131,0.003,0.127,0.026,0.,0.026
2048,11,0.,0.,0.,0.47,0.,0.47,0.069,0.,0.069
4096,12,0.,0.,0.,1.371,0.004,1.367,0.151,0.003,0.148
8192,13,0.,0.,0.,5.281,0.004,5.276,0.298,0.007,0.29
16384,14,0.,0.,0.,18.191,0.02,18.17,0.616,0.008,0.608
