param-0-univ-count,param-1-n,abstract-regression-quadratic-real,abstract-regression-quadratic-sys,abstract-regression-quadratic-user,close-abstract-regression-quadratic-real,close-abstract-regression-quadratic-sys,close-abstract-regression-quadratic-user,exact-regression-linear-real,exact-regression-linear-sys,exact-regression-linear-user
1,0,0.,0.,0.,0.,0.,0.,0.,0.,0.
2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.
4,2,0.001,0.,0.,0.,0.,0.,0.,0.,0.
8,3,0.001,0.,0.001,0.001,0.,0.,0.,0.,0.
16,4,0.002,0.,0.002,0.001,0.,0.001,0.001,0.,0.001
32,5,0.004,0.002,0.002,0.003,0.002,0.,0.001,0.,0.001
64,6,0.01,0.004,0.005,0.007,0.004,0.002,0.002,0.,0.002
128,7,0.073,0.007,0.066,0.067,0.007,0.06,0.005,0.,0.005
256,8,0.037,0.,0.036,0.025,0.,0.025,0.011,0.,0.011
512,9,0.073,0.002,0.07,0.053,0.,0.053,0.019,0.002,0.017
1024,10,0.185,0.009,0.176,0.142,0.008,0.133,0.041,0.,0.041
2048,11,0.437,0.015,0.421,0.318,0.011,0.306,0.118,0.003,0.114
4096,12,0.813,0.019,0.793,0.558,0.007,0.55,0.255,0.011,0.243
8192,13,1.779,0.027,1.751,1.204,0.011,1.192,0.574,0.015,0.558
16384,14,3.697,0.039,3.656,2.679,0.039,2.639,1.017,0.,1.017
