Params: 0-univ-count= 32 , 1-n= 5
Tactic call exact-regression-linear ran for 0.001 secs (0.001u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.004 secs (0.002u,0.002s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.003 secs (0.u,0.002s)
Params: 0-univ-count= 64 , 1-n= 6
Tactic call exact-regression-linear ran for 0.002 secs (0.002u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.01 secs (0.005u,0.004s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.007 secs (0.002u,0.004s)
Params: 0-univ-count= 128 , 1-n= 7
Tactic call exact-regression-linear ran for 0.005 secs (0.005u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.073 secs (0.066u,0.007s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.067 secs (0.06u,0.007s)
Params: 0-univ-count= 256 , 1-n= 8
Tactic call exact-regression-linear ran for 0.011 secs (0.011u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.037 secs (0.036u,0.s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.025 secs (0.025u,0.s)
Params: 0-univ-count= 512 , 1-n= 9
Tactic call exact-regression-linear ran for 0.019 secs (0.017u,0.002s) (success)
Tactic call abstract-regression-quadratic ran for 0.073 secs (0.07u,0.002s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.053 secs (0.053u,0.s)
Params: 0-univ-count= 1024 , 1-n= 10
Tactic call exact-regression-linear ran for 0.041 secs (0.041u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 0.185 secs (0.176u,0.009s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.142 secs (0.133u,0.008s)
Params: 0-univ-count= 2048 , 1-n= 11
Tactic call exact-regression-linear ran for 0.118 secs (0.114u,0.003s) (success)
Tactic call abstract-regression-quadratic ran for 0.437 secs (0.421u,0.015s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.318 secs (0.306u,0.011s)
Params: 0-univ-count= 4096 , 1-n= 12
Tactic call exact-regression-linear ran for 0.255 secs (0.243u,0.011s) (success)
Tactic call abstract-regression-quadratic ran for 0.813 secs (0.793u,0.019s) (success)
Tactic call close-abstract-regression-quadratic ran for 0.558 secs (0.55u,0.007s)
Params: 0-univ-count= 8192 , 1-n= 13
Tactic call exact-regression-linear ran for 0.574 secs (0.558u,0.015s) (success)
Tactic call abstract-regression-quadratic ran for 1.779 secs (1.751u,0.027s) (success)
Tactic call close-abstract-regression-quadratic ran for 1.204 secs (1.192u,0.011s)
Params: 0-univ-count= 16384 , 1-n= 14
Tactic call exact-regression-linear ran for 1.017 secs (1.017u,0.s) (success)
Tactic call abstract-regression-quadratic ran for 3.697 secs (3.656u,0.039s) (success)
Tactic call close-abstract-regression-quadratic ran for 2.679 secs (2.639u,0.039s)
