param-n,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,noop-repeat-setoid-rewrite-regression-cubic-real,noop-repeat-setoid-rewrite-regression-cubic-sys,noop-repeat-setoid-rewrite-regression-cubic-user
0,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,0.001,0.001,0.,0.001,0.001,0.,0.,0.,0.
2,0.001,0.001,0.,0.001,0.,0.001,0.001,0.,0.001
10,0.006,0.,0.006,0.005,0.,0.005,0.006,0.003,0.002
20,0.012,0.003,0.009,0.013,0.008,0.005,0.012,0.,0.012
30,0.016,0.003,0.013,0.018,0.,0.018,0.075,0.003,0.071
40,0.026,0.,0.026,0.026,0.,0.025,0.027,0.,0.027
50,0.036,0.,0.036,0.099,0.007,0.091,0.044,0.016,0.028
60,0.059,0.,0.059,0.049,0.,0.049,0.05,0.,0.05
70,0.076,0.,0.076,0.062,0.,0.062,0.063,0.,0.063
80,0.136,0.,0.136,0.079,0.003,0.075,0.081,0.,0.081
90,0.112,0.,0.112,0.09,0.,0.09,0.121,0.,0.121
100,0.127,0.,0.127,0.124,0.,0.124,0.114,0.003,0.11
110,0.131,0.,0.131,0.134,0.,0.134,0.135,0.,0.135
120,0.149,0.,0.149,0.152,0.,0.152,0.163,0.,0.163
130,0.182,0.,0.182,0.182,0.,0.182,0.176,0.,0.176
140,0.203,0.,0.203,0.204,0.,0.204,0.203,0.,0.203
150,0.24,0.,0.24,0.258,0.,0.258,0.291,0.,0.291
160,0.25,0.,0.25,0.261,0.,0.261,0.256,0.,0.256
170,0.292,0.,0.292,0.286,0.,0.286,0.278,0.,0.278
180,0.327,0.,0.327,0.321,0.,0.321,0.315,0.,0.315
190,0.364,0.,0.364,0.345,0.,0.345,0.344,0.,0.344
200,0.385,0.,0.385,0.385,0.,0.385,0.374,0.,0.374
