param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
1,1,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.09903,0.00027,0.00081,0.00006,0.101,0.003,0.003,0.,0.,0.,0.,0.,0.,0.001,0.,0.,0.001,0.001,0.,0.017,0.008,0.008
2,1,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07827,0.00024,0.00076,0.00007,0.079,0.002,0.002,0.,0.,0.,0.,0.,0.,0.006,0.003,0.003,0.006,0.,0.005,0.046,0.016,0.03
2,2,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08269,0.00023,0.00077,0.00006,0.083,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.003,0.,0.003,0.002,0.002,0.,0.084,0.011,0.072
3,1,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.08345,0.00023,0.00078,0.00007,0.084,0.002,0.001,0.,0.,0.,0.001,0.001,0.,0.014,0.003,0.011,0.014,0.,0.013,0.07,0.,0.07
3,3,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08054,0.00023,0.00138,0.00007,0.082,0.003,0.002,0.001,0.,0.001,0.,0.,0.,0.01,0.003,0.006,0.01,0.002,0.007,0.051,0.,0.051
4,1,4,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.08268,0.00024,0.00077,0.00007,0.083,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.031,0.,0.031,0.031,0.,0.031,0.139,0.,0.139
4,2,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07876,0.00028,0.00077,0.00007,0.08,0.,0.004,0.001,0.,0.001,0.,0.,0.,0.018,0.004,0.014,0.017,0.002,0.015,0.077,0.,0.077
4,4,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.07938,0.00023,0.00079,0.00009,0.08,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.019,0.,0.019,0.02,0.,0.02,0.072,0.,0.072
5,1,5,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.10008,0.00032,0.00150,0.00008,0.103,0.007,0.,0.001,0.,0.001,0.,0.,0.,0.127,0.019,0.107,0.128,0.012,0.115,0.282,0.035,0.246
5,5,1,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.07653,0.00026,0.00076,0.00008,0.077,0.003,0.,0.001,0.,0.001,0.,0.,0.,0.034,0.,0.034,0.036,0.,0.036,0.116,0.,0.116
6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209,0.,0.209
7,1,7,,,,,,,,,,,,,,,,,,,,,,,0.275,0.023,0.251,0.282,0.036,0.245,0.695,0.039,0.655
7,7,1,,,,,,,,,,,,,,,,,,,,,,,0.111,0.,0.111,0.122,0.,0.122,0.345,0.,0.345
8,1,8,,,,,,,,,,,,,,,,,,,,,,,0.41,0.,0.41,0.43,0.,0.43,1.048,0.,1.048
8,2,4,,,,,,,,,,,,,,,,,,,,,,,0.164,0.,0.164,0.162,0.,0.162,0.288,0.,0.288
8,4,2,,,,,,,,,,,,,,,,,,,,,,,0.09,0.,0.09,0.093,0.,0.093,0.292,0.,0.292
8,8,1,,,,,,,,,,,,,,,,,,,,,,,0.157,0.,0.157,0.18,0.,0.18,0.41,0.,0.41
9,1,9,,,,,,,,,,,,,,,,,,,,,,,0.59,0.,0.589,0.601,0.,0.601,1.379,0.,1.379
9,3,3,,,,,,,,,,,,,,,,,,,,,,,0.17,0.,0.17,0.166,0.,0.165,0.406,0.,0.406
9,9,1,,,,,,,,,,,,,,,,,,,,,,,0.232,0.,0.232,0.258,0.,0.258,0.582,0.003,0.578
10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.905,0.,1.905
10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,0.,0.77
11,1,11,,,,,,,,,,,,,,,,,,,,,,,1.221,0.,1.221,1.21,0.,1.21,,,
11,11,1,,,,,,,,,,,,,,,,,,,,,,,0.378,0.,0.378,0.456,0.,0.456,,,
12,1,12,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,1.864,0.003,1.859,1.818,0.,1.817,,,
12,3,4,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,0.353,0.,0.353,0.347,0.,0.346,0.387,0.,0.387
12,12,1,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,0.535,0.,0.535,0.592,0.,0.592,,,
