param-0-n,param-1-lgn,try-ssr-rewrite!-cold-noop-regression-linear-real,try-ssr-rewrite!-cold-noop-regression-linear-sys,try-ssr-rewrite!-cold-noop-regression-linear-user,try-ssr-rewrite!-noop-regression-linear-real,try-ssr-rewrite!-noop-regression-linear-sys,try-ssr-rewrite!-noop-regression-linear-user,try-ssr-rewrite-noop-regression-linear-real,try-ssr-rewrite-noop-regression-linear-sys,try-ssr-rewrite-noop-regression-linear-user,try-ssr-rewrite?-noop-regression-linear-real,try-ssr-rewrite?-noop-regression-linear-sys,try-ssr-rewrite?-noop-regression-linear-user
3,1,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
7,2,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
15,3,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
31,4,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
63,5,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
127,6,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
255,7,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
511,8,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1023,9,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
2047,10,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
4095,11,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001,0.001,0.,0.001
8191,12,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003,0.003,0.,0.003
16383,13,0.006,0.,0.006,0.009,0.,0.009,0.006,0.,0.006,0.005,0.,0.005
32767,14,0.019,0.,0.019,0.012,0.,0.012,0.012,0.,0.012,0.028,0.,0.028
65535,15,0.027,0.,0.027,0.047,0.,0.047,0.026,0.,0.026,0.035,0.,0.035
131071,16,0.101,0.,0.101,0.128,0.,0.128,0.053,0.,0.053,0.081,0.,0.081
262143,17,0.175,0.012,0.162,0.146,0.,0.146,0.104,0.,0.104,0.107,0.,0.107
524287,18,0.329,0.007,0.321,0.211,0.,0.211,0.213,0.,0.213,0.212,0.,0.212
1048575,19,0.663,0.007,0.655,0.441,0.,0.441,0.444,0.,0.443,0.449,0.,0.449
2097151,20,1.199,0.028,1.171,0.907,0.,0.907,0.909,0.,0.909,0.893,0.,0.893
4194303,21,2.135,0.015,2.119,1.813,0.,1.812,1.814,0.,1.814,1.813,0.,1.812
8388607,22,4.079,0.,4.078,3.602,0.,3.602,3.603,0.,3.603,3.626,0.,3.626
