param-n,abstract+repeat-rewrite-strat-bottomup-regression-cubic-real,abstract+repeat-rewrite-strat-bottomup-regression-cubic-sys,abstract+repeat-rewrite-strat-bottomup-regression-cubic-user,abstract+repeat-rewrite-strat-topdown-regression-cubic-real,abstract+repeat-rewrite-strat-topdown-regression-cubic-sys,abstract+repeat-rewrite-strat-topdown-regression-cubic-user,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-real,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-bottomup-regression-quadratic-user,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-real,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-sys,close-abstract+repeat-rewrite-strat-topdown-regression-quadratic-user,noop-repeat-rewrite-strat-bottomup-regression-cubic-real,noop-repeat-rewrite-strat-bottomup-regression-cubic-sys,noop-repeat-rewrite-strat-bottomup-regression-cubic-user,noop-repeat-rewrite-strat-topdown-regression-cubic-real,noop-repeat-rewrite-strat-topdown-regression-cubic-sys,noop-repeat-rewrite-strat-topdown-regression-cubic-user,repeat-rewrite-strat-bottomup-regression-cubic-real,repeat-rewrite-strat-bottomup-regression-cubic-sys,repeat-rewrite-strat-bottomup-regression-cubic-user,repeat-rewrite-strat-topdown-regression-cubic-real,repeat-rewrite-strat-topdown-regression-cubic-sys,repeat-rewrite-strat-topdown-regression-cubic-user
0,0.006,0.,0.006,0.006,0.,0.006,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.005,0.,0.005,0.004,0.,0.004
1,0.01,0.004,0.006,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.001,0.,0.001,0.008,0.003,0.004,0.006,0.,0.006
2,0.015,0.004,0.011,0.015,0.002,0.012,0.,0.,0.,0.001,0.001,0.,0.001,0.,0.001,0.001,0.001,0.,0.013,0.003,0.009,0.012,0.,0.012
3,0.025,0.011,0.013,0.023,0.007,0.015,0.,0.,0.,0.,0.,0.,0.002,0.002,0.,0.002,0.,0.002,0.022,0.008,0.013,0.019,0.007,0.011
4,0.031,0.003,0.027,0.029,0.005,0.024,0.001,0.,0.001,0.001,0.001,0.,0.002,0.,0.002,0.002,0.,0.001,0.026,0.003,0.023,0.025,0.003,0.022
5,0.093,0.007,0.086,0.087,0.025,0.062,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002,0.002,0.,0.002,0.089,0.007,0.082,0.083,0.025,0.058
6,0.046,0.,0.046,0.04,0.,0.04,0.001,0.,0.001,0.001,0.,0.001,0.003,0.,0.003,0.002,0.,0.002,0.041,0.,0.041,0.035,0.,0.035
7,0.059,0.,0.059,0.051,0.,0.051,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.003,0.,0.003,0.053,0.,0.053,0.046,0.,0.046
8,0.07,0.,0.07,0.062,0.,0.062,0.001,0.,0.001,0.001,0.,0.001,0.004,0.,0.004,0.003,0.,0.003,0.064,0.,0.064,0.056,0.,0.056
9,0.098,0.,0.098,0.09,0.,0.09,0.002,0.,0.002,0.018,0.,0.018,0.004,0.,0.004,0.004,0.,0.004,0.091,0.,0.091,0.067,0.,0.067
10,0.184,0.048,0.135,0.164,0.02,0.143,0.003,0.,0.003,0.002,0.,0.002,0.006,0.,0.006,0.004,0.,0.004,0.174,0.048,0.125,0.156,0.02,0.136
11,0.113,0.,0.113,0.106,0.,0.106,0.002,0.,0.002,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.104,0.,0.104,0.097,0.,0.097
12,0.136,0.,0.136,0.132,0.,0.132,0.003,0.,0.003,0.002,0.,0.002,0.005,0.,0.005,0.005,0.,0.005,0.127,0.,0.127,0.123,0.,0.123
13,0.152,0.,0.152,0.137,0.,0.137,0.004,0.,0.004,0.003,0.,0.003,0.006,0.,0.006,0.007,0.,0.007,0.141,0.,0.141,0.126,0.,0.126
14,0.229,0.,0.228,0.217,0.,0.217,0.004,0.,0.004,0.004,0.,0.004,0.007,0.,0.007,0.006,0.,0.006,0.217,0.,0.217,0.206,0.,0.206
15,0.215,0.,0.215,0.211,0.,0.21,0.004,0.,0.004,0.004,0.,0.004,0.007,0.,0.007,0.007,0.,0.007,0.203,0.,0.203,0.198,0.,0.198
16,0.224,0.,0.224,0.228,0.,0.228,0.004,0.,0.004,0.004,0.,0.004,0.007,0.,0.007,0.008,0.,0.008,0.212,0.,0.212,0.214,0.,0.214
17,0.226,0.,0.226,0.23,0.,0.23,0.005,0.,0.005,0.005,0.,0.005,0.008,0.,0.008,0.008,0.,0.008,0.213,0.,0.213,0.216,0.,0.216
18,0.257,0.,0.257,0.265,0.,0.265,0.005,0.,0.005,0.005,0.,0.005,0.009,0.,0.009,0.01,0.,0.01,0.241,0.,0.241,0.249,0.,0.249
19,0.286,0.,0.286,0.296,0.003,0.292,0.005,0.,0.005,0.006,0.,0.006,0.009,0.,0.009,0.009,0.,0.009,0.271,0.,0.271,0.279,0.003,0.275
20,0.422,0.003,0.418,0.36,0.,0.36,0.007,0.,0.007,0.006,0.,0.006,0.012,0.,0.012,0.011,0.,0.01,0.402,0.003,0.399,0.342,0.,0.342
21,0.351,0.,0.351,0.355,0.,0.355,0.007,0.,0.007,0.007,0.,0.007,0.011,0.,0.011,0.012,0.,0.012,0.332,0.,0.332,0.335,0.,0.335
22,0.405,0.,0.405,0.386,0.,0.386,0.007,0.,0.007,0.008,0.,0.008,0.012,0.,0.012,0.011,0.,0.011,0.385,0.,0.385,0.366,0.,0.366
23,0.456,0.,0.456,0.414,0.,0.414,0.008,0.,0.008,0.007,0.,0.007,0.013,0.,0.013,0.012,0.,0.012,0.434,0.,0.434,0.392,0.,0.392
24,0.502,0.,0.502,0.467,0.,0.467,0.009,0.,0.009,0.007,0.,0.007,0.013,0.,0.013,0.012,0.,0.012,0.478,0.,0.478,0.447,0.,0.447
25,0.519,0.,0.519,0.499,0.,0.499,0.01,0.,0.01,0.009,0.,0.009,0.013,0.,0.013,0.013,0.,0.013,0.495,0.,0.495,0.476,0.,0.476
30,0.994,0.,0.994,0.897,0.,0.896,0.014,0.,0.013,0.012,0.,0.012,0.02,0.,0.02,0.017,0.,0.017,0.96,0.,0.959,0.866,0.,0.866
35,1.085,0.,1.083,1.062,0.,1.062,0.015,0.,0.015,0.017,0.,0.017,0.022,0.,0.022,0.021,0.,0.021,1.047,0.,1.045,1.022,0.,1.021
40,1.589,0.,1.588,1.538,0.,1.538,0.023,0.,0.023,0.025,0.,0.025,0.026,0.,0.026,0.034,0.,0.034,1.539,0.,1.538,1.478,0.,1.477
45,1.899,0.,1.899,1.896,0.,1.896,0.024,0.,0.024,0.027,0.,0.027,0.028,0.,0.028,0.031,0.,0.031,1.845,0.,1.844,1.837,0.,1.837
50,2.514,0.,2.514,2.502,0.003,2.498,0.03,0.,0.03,0.032,0.,0.032,0.036,0.,0.036,0.036,0.,0.036,2.447,0.,2.447,2.432,0.003,2.428
