param-n,rewrite-strat(bottomup)-regression-exponential-real,rewrite-strat(bottomup)-regression-exponential-sys,rewrite-strat(bottomup)-regression-exponential-user,rewrite-strat(topdown)-regression-exponential-real,rewrite-strat(topdown)-regression-exponential-sys,rewrite-strat(topdown)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
0,0.002,0.,0.001,0.002,0.,0.002,0.002,0.,0.002
1,0.001,0.,0.001,0.001,0.,0.001,0.002,0.,0.002
2,0.002,0.002,0.,0.002,0.,0.002,0.003,0.003,0.
3,0.004,0.004,0.,0.003,0.003,0.,0.004,0.004,0.
4,0.005,0.,0.004,0.004,0.004,0.,0.006,0.,0.006
5,0.008,0.004,0.004,0.007,0.,0.007,0.008,0.,0.008
6,0.009,0.004,0.005,0.008,0.,0.008,0.008,0.,0.008
7,0.009,0.,0.009,0.009,0.004,0.005,0.01,0.003,0.006
8,0.011,0.003,0.007,0.011,0.007,0.003,0.011,0.,0.011
9,0.013,0.,0.013,0.013,0.003,0.01,0.013,0.011,0.002
10,0.023,0.003,0.019,0.016,0.008,0.008,0.069,0.008,0.061
11,0.018,0.011,0.007,0.018,0.018,0.,0.014,0.,0.014
12,0.076,0.031,0.045,0.021,0.019,0.002,0.015,0.,0.015
13,0.075,0.,0.075,0.073,0.004,0.068,0.017,0.,0.017
14,,,,0.023,0.,0.023,0.018,0.,0.018
15,0.026,0.,0.026,0.026,0.,0.025,0.019,0.,0.019
16,,,,,,,0.021,0.,0.021
17,,,,,,,0.023,0.,0.023
18,,,,,,,0.026,0.,0.026
19,,,,,,,0.027,0.,0.027
20,0.045,0.,0.045,,,,0.043,0.,0.043
21,,,,,,,0.032,0.,0.032
22,,,,0.056,0.,0.056,0.043,0.015,0.027
23,,,,,,,0.036,0.,0.036
24,,,,,,,0.04,0.,0.04
25,,,,,,,0.057,0.,0.057
26,0.079,0.,0.079,,,,0.046,0.,0.046
27,,,,,,,0.046,0.,0.046
28,,,,,,,0.051,0.,0.051
29,,,,,,,0.107,0.,0.107
30,,,,0.125,0.,0.125,0.054,0.,0.054
31,,,,,,,0.057,0.,0.057
32,,,,,,,0.094,0.,0.094
33,0.155,0.,0.155,,,,0.065,0.,0.065
34,,,,,,,0.087,0.,0.087
35,,,,,,,0.077,0.,0.075
36,,,,,,,0.074,0.,0.074
37,,,,0.198,0.,0.198,0.076,0.,0.076
38,,,,,,,0.083,0.,0.083
39,0.224,0.003,0.22,,,,0.086,0.,0.086
40,,,,,,,0.097,0.,0.097
41,,,,,,,0.098,0.,0.098
42,,,,,,,0.102,0.,0.102
43,,,,,,,0.157,0.004,0.152
44,,,,,,,0.107,0.,0.107
45,,,,0.363,0.,0.363,0.114,0.,0.114
46,0.387,0.,0.387,,,,0.12,0.,0.12
47,,,,,,,0.116,0.,0.116
48,,,,,,,0.122,0.,0.122
49,,,,,,,0.129,0.,0.129
50,,,,,,,0.133,0.,0.133
51,,,,,,,0.143,0.,0.143
52,0.419,0.,0.419,,,,,,
53,,,,0.527,0.,0.527,0.151,0.,0.151
54,,,,,,,0.157,0.,0.157
55,,,,,,,0.154,0.,0.154
56,,,,,,,0.162,0.,0.162
58,,,,,,,0.174,0.003,0.17
59,,,,,,,0.185,0.004,0.181
60,,,,,,,0.182,0.,0.182
61,,,,,,,0.203,0.,0.203
62,0.693,0.,0.693,,,,,,
63,,,,0.766,0.,0.766,0.208,0.,0.208
64,,,,,,,0.22,0.,0.22
65,,,,,,,0.225,0.,0.225
66,,,,,,,0.233,0.,0.233
68,,,,,,,0.241,0.,0.241
69,,,,,,,0.25,0.,0.25
70,,,,,,,0.251,0.011,0.239
71,,,,,,,0.271,0.,0.271
73,1.057,0.,1.057,,,,0.301,0.,0.301
74,,,,1.169,0.,1.169,0.286,0.003,0.282
75,,,,,,,0.289,0.,0.289
78,,,,,,,0.332,0.,0.332
80,,,,,,,0.33,0.,0.33
83,1.577,0.007,1.569,,,,0.339,0.,0.339
84,,,,1.674,0.,1.674,,,
85,,,,,,,0.476,0.003,0.472
88,,,,,,,0.382,0.,0.382
90,,,,,,,0.408,0.,0.408
93,,,,,,,0.44,0.,0.44
94,2.207,0.,2.206,,,,,,
95,,,,2.42,0.,2.42,0.449,0.003,0.445
98,,,,,,,0.477,0.007,0.469
100,,,,,,,0.536,0.,0.536
104,2.985,0.,2.984,,,,,,
105,,,,3.188,0.,3.188,,,
106,,,,,,,0.591,0.,0.591
120,,,,,,,0.748,0.,0.747
140,,,,,,,1.027,0.,1.027
159,,,,,,,1.371,0.007,1.363
179,,,,,,,1.752,0.011,1.74
199,,,,,,,2.223,0.003,2.218
