param-n,cbn-regression-cubic-real,cbn-regression-cubic-sys,cbn-regression-cubic-user,cbv-regression-quadratic-real,cbv-regression-quadratic-sys,cbv-regression-quadratic-user,lazy-regression-quadratic-real,lazy-regression-quadratic-sys,lazy-regression-quadratic-user,native-compute(1)-native-compute-compilation-real,native-compute(1)-native-compute-conversion-to-native-code-real,native-compute(1)-native-compute-evaluation-real,native-compute(1)-native-compute-reification-real,native-compute(1)-regression-quadratic-real,native-compute(1)-regression-quadratic-sys,native-compute(1)-regression-quadratic-user,native-compute(2)-native-compute-compilation-real,native-compute(2)-native-compute-conversion-to-native-code-real,native-compute(2)-native-compute-evaluation-real,native-compute(2)-native-compute-reification-real,native-compute(2)-regression-quadratic-real,native-compute(2)-regression-quadratic-sys,native-compute(2)-regression-quadratic-user,simpl-regression-cubic-real,simpl-regression-cubic-sys,simpl-regression-cubic-user,vm-compute-regression-quadratic-real,vm-compute-regression-quadratic-sys,vm-compute-regression-quadratic-user
2,0.001,0.,0.001,0.,0.,0.,0.,0.,0.,0.30226,0.00121,0.00095,0.00006,0.306,0.,0.014,0.07004,0.00025,0.00071,0.00006,0.071,0.003,0.,0.001,0.,0.001,0.,0.,0.
3,0.003,0.,0.003,0.,0.,0.,0.,0.,0.,0.06720,0.00018,0.00071,0.00006,0.068,0.,0.003,0.06818,0.00021,0.00072,0.00006,0.069,0.002,0.,0.002,0.,0.002,0.,0.,0.
4,0.005,0.,0.005,0.,0.,0.,0.,0.,0.,0.06968,0.00018,0.00073,0.00007,0.07,0.003,0.,0.06837,0.00021,0.00072,0.00006,0.069,0.001,0.002,0.005,0.,0.005,0.,0.,0.
5,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.06759,0.00018,0.00080,0.00007,0.068,0.,0.003,0.07295,0.00020,0.00071,0.00007,0.074,0.,0.003,0.008,0.,0.008,0.,0.,0.
6,0.015,0.,0.015,0.,0.,0.,0.,0.,0.,0.07179,0.00018,0.00077,0.00007,0.072,0.,0.003,0.07281,0.00022,0.00071,0.00007,0.073,0.003,0.,0.015,0.,0.015,0.,0.,0.
7,0.022,0.,0.022,0.,0.,0.,0.,0.,0.,0.06591,0.00018,0.00079,0.00007,0.067,0.,0.003,0.07099,0.00027,0.00077,0.00023,0.072,0.,0.003,0.02,0.,0.02,0.,0.,0.
8,0.027,0.,0.027,0.,0.,0.,0.,0.,0.,0.06825,0.00019,0.00073,0.00007,0.069,0.003,0.,0.06705,0.00021,0.00222,0.00008,0.069,0.,0.004,0.03,0.,0.03,0.,0.,0.
9,0.051,0.,0.051,0.,0.,0.,0.,0.,0.,0.06861,0.00018,0.00073,0.00010,0.069,0.002,0.,0.07055,0.00021,0.00073,0.00007,0.071,0.,0.002,0.052,0.011,0.04,0.,0.,0.
10,0.067,0.,0.067,0.,0.,0.,0.,0.,0.,0.06846,0.00018,0.00074,0.00007,0.069,0.,0.003,0.06964,0.00021,0.00074,0.00007,0.07,0.,0.003,0.05,0.,0.05,0.,0.,0.
11,0.057,0.,0.057,0.,0.,0.,,,,,,,,,,,,,,,,,,0.06,0.,0.06,,,
12,0.072,0.,0.072,,,,0.,0.,0.,,,,,,,,,,,,,,,0.089,0.,0.089,,,
13,0.095,0.007,0.087,,,,,,,,,,,,,,,,,,,,,0.102,0.,0.102,,,
14,0.122,0.003,0.118,,,,,,,,,,,,,,,,,,,,,0.132,0.,0.132,,,
15,0.171,0.,0.171,,,,,,,,,,,,,,,,,,,,,0.147,0.,0.147,,,
16,0.226,0.,0.226,,,,,,,,,,,,,,,,,,,,,0.226,0.003,0.222,,,
17,,,,,,,,,,,,,,,,,,,,,,,,0.228,0.,0.228,,,
18,0.31,0.,0.31,,,,0.,0.,0.,,,,,,,,,,,,,,,0.257,0.,0.257,,,
19,0.285,0.,0.285,0.,0.,0.,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,0.277,0.,0.277,,,
22,0.368,0.,0.368,,,,,,,,,,,,,,,,,,,,,0.518,0.,0.518,,,
23,,,,,,,0.,0.,0.,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,0.413,0.,0.413,,,
25,0.454,0.,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,0.521,0.,0.521,,,
28,0.654,0.,0.654,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,0.638,0.,0.638,,,
30,0.769,0.,0.769,,,,,,,,,,,,,,,,,,,,,0.74,0.,0.74,,,
32,,,,,,,,,,,,,,,,,,,,,,,,0.859,0.,0.859,,,
33,0.902,0.,0.902,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,1.051,0.,1.051,,,
36,1.16,0.,1.16,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,1.671,0.,1.671,0.,0.,0.
43,1.888,0.,1.888,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
45,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,2.473,0.003,2.469,,,
49,,,,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,
50,2.876,0.,2.876,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,0.002,0.,0.002,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,3.482,0.003,3.477,,,
56,3.893,0.,3.891,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,4.635,0.004,4.63,,,
62,,,,0.003,0.,0.003,,,,,,,,,,,,,,,,,,,,,,,
63,5.353,0.,5.352,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.007,6.492,,,
70,6.973,0.007,6.965,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,
71,,,,0.004,0.,0.004,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,
79,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,0.,0.,0.
86,,,,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,
88,,,,0.005,0.,0.005,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,
96,,,,0.006,0.,0.006,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,
101,,,,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,
105,,,,0.007,0.,0.007,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,
112,,,,,,,0.009,0.,0.009,,,,,,,,,,,,,,,,,,,,
113,,,,0.008,0.,0.008,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,0.27735,0.00122,0.00114,0.00039,0.281,0.003,0.013,0.06761,0.00026,0.00080,0.00026,0.069,0.,0.002,,,,,,
117,,,,,,,0.025,0.,0.025,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,0.,0.,0.
122,,,,0.009,0.,0.009,0.01,0.,0.01,,,,,,,,,,,,,,,,,,,,
127,,,,,,,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,
130,,,,0.024,0.,0.024,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,0.014,0.,0.014,,,,,,,,,,,,,,,,,,,,
138,,,,,,,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,
139,,,,0.012,0.,0.012,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,0.036,0.,0.036,,,,,,,,,,,,,,,,,,,,
148,,,,0.012,0.,0.012,0.015,0.,0.015,,,,,,,,,,,,,,,,,,,,
153,,,,,,,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,
156,,,,0.031,0.,0.031,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,0.09,0.,0.09,,,,,,,,,,,,,,,,,,0.001,0.,0.001
164,,,,,,,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,
165,,,,0.016,0.,0.016,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,
173,,,,0.017,0.,0.017,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,0.054,0.,0.054,,,,,,,,,,,,,,,,,,,,
180,,,,,,,0.021,0.,0.021,,,,,,,,,,,,,,,,,,,,
182,,,,0.018,0.,0.018,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,0.023,0.,0.023,,,,,,,,,,,,,,,,,,,,
190,,,,0.02,0.,0.02,0.024,0.,0.024,,,,,,,,,,,,,,,,,,,,
195,,,,,,,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.,0.001
199,,,,0.038,0.,0.038,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,
206,,,,,,,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,
208,,,,0.1,0.,0.1,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,0.029,0.,0.029,,,,,,,,,,,,,,,,,,,,
216,,,,0.024,0.,0.024,0.032,0.,0.032,,,,,,,,,,,,,,,,,,,,
221,,,,,,,0.048,0.,0.048,,,,,,,,,,,,,,,,,,,,
225,,,,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,0.039,0.,0.039,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,0.06435,0.00020,0.00108,0.00038,0.066,0.003,0.001,0.06830,0.00022,0.00101,0.00041,0.07,0.001,0.003,,,,,,
232,,,,,,,0.044,0.,0.044,,,,,,,,,,,,,,,,,,,,
233,,,,0.027,0.,0.027,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,0.039,0.,0.039,,,,,,,,,,,,,,,,,,0.001,0.,0.001
242,,,,0.067,0.,0.067,0.036,0.,0.036,,,,,,,,,,,,,,,,,,,,
247,,,,,,,0.037,0.,0.037,,,,,,,,,,,,,,,,,,,,
250,,,,0.033,0.,0.033,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,
258,,,,,,,0.043,0.,0.043,,,,,,,,,,,,,,,,,,,,
259,,,,0.059,0.,0.059,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,0.041,0.,0.041,,,,,,,,,,,,,,,,,,,,
268,,,,0.037,0.,0.037,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,
273,,,,,,,0.045,0.,0.045,,,,,,,,,,,,,,,,,,,,
276,,,,0.04,0.,0.04,,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002
279,,,,,,,0.053,0.,0.053,,,,,,,,,,,,,,,,,,,,
284,,,,,,,0.048,0.,0.047,,,,,,,,,,,,,,,,,,,,
285,,,,0.043,0.,0.043,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,0.052,0.,0.052,,,,,,,,,,,,,,,,,,,,
292,,,,,,,0.055,0.,0.055,,,,,,,,,,,,,,,,,,,,
293,,,,0.061,0.,0.061,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,0.062,0.,0.062,,,,,,,,,,,,,,,,,,,,
300,,,,,,,0.057,0.,0.057,,,,,,,,,,,,,,,,,,,,
302,,,,0.047,0.,0.047,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,0.062,0.,0.062,,,,,,,,,,,,,,,,,,,,
310,,,,0.051,0.,0.051,0.064,0.003,0.06,,,,,,,,,,,,,,,,,,,,
315,,,,,,,0.068,0.,0.068,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.,0.002
319,,,,0.051,0.,0.051,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,0.061,0.,0.061,,,,,,,,,,,,,,,,,,,,
326,,,,,,,0.067,0.,0.067,,,,,,,,,,,,,,,,,,,,
328,,,,0.05,0.,0.05,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,0.084,0.003,0.08,,,,,,,,,,,,,,,,,,,,
