param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.001,0.,0.001
2,0.,0.,0.,0.003,0.,0.003
3,0.,0.,0.,0.004,0.,0.004
4,0.,0.,0.,0.006,0.004,0.001
5,0.,0.,0.,0.007,0.,0.007
6,0.,0.,0.,0.009,0.003,0.006
7,0.,0.,0.,0.012,0.002,0.009
8,0.,0.,0.,0.016,0.,0.016
9,0.,0.,0.,0.077,0.015,0.062
10,0.,0.,0.,0.016,0.,0.016
11,0.,0.,0.,0.019,0.,0.019
12,0.,0.,0.,0.022,0.,0.022
13,0.,0.,0.,0.025,0.,0.025
14,0.,0.,0.,0.028,0.,0.028
15,0.,0.,0.,0.031,0.,0.031
16,0.,0.,0.,0.037,0.,0.037
17,0.,0.,0.,0.038,0.,0.038
18,0.,0.,0.,0.057,0.,0.057
19,0.,0.,0.,0.049,0.,0.049
20,0.,0.,0.,0.054,0.,0.054
21,0.,0.,0.,0.074,0.,0.074
22,0.,0.,0.,0.065,0.,0.065
23,0.001,0.,0.001,0.077,0.,0.077
24,0.,0.,0.,0.135,0.,0.135
25,0.,0.,0.,0.089,0.,0.089
26,0.,0.,0.,0.126,0.,0.126
27,0.001,0.,0.001,0.105,0.,0.105
28,0.001,0.,0.001,0.13,0.,0.13
29,0.,0.,0.,0.112,0.,0.112
30,0.001,0.,0.001,0.125,0.,0.125
31,0.001,0.,0.001,0.142,0.,0.142
32,0.001,0.,0.001,0.149,0.,0.149
33,0.001,0.,0.001,0.158,0.,0.158
34,0.001,0.,0.001,0.167,0.,0.167
35,0.001,0.,0.001,0.181,0.,0.181
36,0.001,0.,0.001,0.196,0.,0.196
37,0.001,0.,0.001,0.208,0.,0.208
38,0.001,0.,0.001,0.219,0.,0.219
39,0.001,0.,0.001,0.226,0.,0.226
40,0.001,0.,0.001,0.235,0.,0.235
41,0.001,0.,0.001,0.252,0.,0.252
42,0.001,0.,0.001,0.274,0.,0.274
43,0.001,0.,0.001,0.281,0.003,0.277
44,0.001,0.,0.001,0.304,0.,0.303
45,0.001,0.,0.001,0.337,0.003,0.333
46,0.002,0.,0.002,0.339,0.,0.338
47,0.001,0.,0.001,0.357,0.,0.357
48,0.001,0.,0.001,0.387,0.,0.387
49,0.001,0.,0.001,0.403,0.,0.403
50,0.002,0.,0.002,0.437,0.,0.437
51,0.001,0.,0.001,0.446,0.,0.446
52,0.001,0.,0.001,0.46,0.,0.46
53,0.002,0.,0.002,0.484,0.,0.484
54,0.001,0.,0.001,0.529,0.,0.529
55,0.001,0.,0.001,0.535,0.003,0.531
56,0.001,0.,0.001,0.564,0.,0.564
57,0.001,0.,0.001,0.572,0.,0.572
58,0.001,0.,0.001,0.617,0.003,0.613
59,0.001,0.,0.001,0.642,0.,0.642
60,0.001,0.,0.001,0.672,0.008,0.664
61,0.001,0.,0.001,0.702,0.,0.702
62,0.002,0.,0.002,0.735,0.,0.735
63,0.001,0.,0.001,0.746,0.,0.746
64,0.002,0.,0.002,0.794,0.,0.794
65,0.002,0.,0.002,0.841,0.,0.841
66,0.002,0.,0.002,0.858,0.,0.858
67,0.002,0.,0.002,0.888,0.007,0.88
68,0.002,0.,0.002,0.929,0.,0.929
69,0.002,0.,0.002,0.987,0.,0.987
70,0.002,0.,0.002,1.014,0.003,1.01
71,0.002,0.,0.002,1.067,0.003,1.063
72,0.002,0.,0.002,1.095,0.003,1.091
73,0.002,0.,0.002,1.156,0.003,1.152
74,0.002,0.,0.002,1.183,0.,1.183
75,0.002,0.,0.002,1.234,0.,1.234
76,0.002,0.,0.002,1.274,0.,1.274
77,0.002,0.,0.002,1.327,0.,1.326
78,0.002,0.,0.002,1.372,0.,1.372
79,0.002,0.,0.002,1.428,0.,1.428
80,0.002,0.,0.002,1.48,0.,1.48
81,0.002,0.,0.002,1.568,0.,1.568
82,0.003,0.,0.003,1.615,0.003,1.611
83,0.002,0.,0.002,1.631,0.,1.631
84,0.002,0.,0.002,1.689,0.,1.689
85,0.002,0.,0.002,1.752,0.,1.751
86,0.002,0.,0.002,1.836,0.,1.836
87,0.002,0.,0.002,1.909,0.,1.909
88,0.002,0.,0.002,2.018,0.003,2.01
89,0.002,0.,0.002,1.99,0.,1.99
90,0.002,0.,0.002,2.007,0.,2.006
91,0.002,0.,0.002,2.102,0.,2.101
92,0.002,0.,0.002,2.101,0.004,2.097
93,0.003,0.,0.003,2.232,0.003,2.228
94,0.002,0.,0.002,2.314,0.,2.314
95,0.002,0.,0.002,2.323,0.004,2.319
96,0.002,0.,0.002,2.46,0.,2.459
97,0.002,0.,0.002,2.502,0.,2.502
98,0.002,0.,0.002,2.594,0.,2.593
99,0.002,0.,0.002,2.655,0.,2.654
100,0.002,0.,0.002,2.758,0.,2.758
110,0.002,0.,0.002,3.682,0.028,3.653
120,0.003,0.,0.003,4.591,0.007,4.583
130,0.003,0.,0.003,6.029,0.011,6.017
140,0.004,0.,0.004,7.816,0.008,7.808
150,0.003,0.,0.003,9.556,0.023,9.528
160,0.004,0.,0.004,11.824,0.003,11.818
170,0.004,0.,0.004,14.445,0.019,14.423
180,0.004,0.,0.004,17.37,0.003,17.364
190,0.005,0.,0.005,21.045,0.012,21.029
200,0.005,0.,0.005,25.62,0.012,25.606
