param-n,abstract-regression-linear-real,abstract-regression-linear-sys,abstract-regression-linear-user,reify-regression-cubic-real,reify-regression-cubic-sys,reify-regression-cubic-user
1,0.,0.,0.,0.003,0.003,0.
2,0.,0.,0.,0.004,0.004,0.
3,0.,0.,0.,0.006,0.003,0.003
4,0.,0.,0.,0.008,0.004,0.004
5,0.002,0.,0.001,0.009,0.003,0.006
6,0.001,0.001,0.,0.012,0.,0.012
7,0.001,0.001,0.,0.014,0.006,0.008
8,0.002,0.,0.002,0.017,0.005,0.011
9,0.001,0.,0.001,0.069,0.004,0.065
10,0.001,0.,0.001,0.017,0.,0.017
11,0.001,0.,0.001,0.021,0.,0.021
12,0.001,0.,0.001,0.024,0.,0.024
13,0.001,0.,0.001,0.027,0.,0.027
14,0.002,0.,0.002,0.029,0.,0.029
15,0.001,0.,0.001,0.033,0.,0.033
16,0.001,0.,0.001,0.035,0.,0.035
17,0.001,0.,0.001,0.053,0.,0.053
18,0.001,0.,0.001,0.045,0.,0.045
19,0.001,0.,0.001,0.047,0.,0.047
20,0.001,0.,0.001,0.054,0.,0.054
21,0.001,0.,0.001,0.071,0.,0.071
22,0.002,0.,0.002,0.065,0.,0.065
23,0.002,0.,0.002,0.07,0.,0.07
24,0.002,0.,0.002,0.13,0.,0.13
25,0.002,0.002,0.,0.083,0.,0.083
26,0.002,0.,0.002,0.119,0.,0.118
27,0.002,0.,0.002,0.095,0.,0.095
28,0.002,0.,0.002,0.11,0.,0.11
29,0.002,0.,0.002,0.102,0.,0.102
30,0.002,0.,0.002,0.112,0.,0.112
31,0.002,0.,0.002,0.117,0.,0.117
32,0.003,0.,0.003,0.121,0.,0.121
33,0.002,0.,0.002,0.132,0.003,0.128
34,0.002,0.,0.002,0.144,0.,0.144
35,0.002,0.,0.002,0.153,0.003,0.149
36,0.006,0.,0.006,0.161,0.,0.161
37,0.008,0.,0.008,0.163,0.,0.163
38,0.002,0.,0.002,0.178,0.,0.178
39,0.002,0.,0.002,0.182,0.,0.182
40,0.003,0.,0.003,0.2,0.003,0.196
41,0.004,0.,0.004,0.22,0.004,0.216
42,0.003,0.,0.003,0.231,0.003,0.227
43,0.003,0.,0.003,0.246,0.,0.245
44,0.003,0.,0.003,0.239,0.,0.239
45,0.003,0.,0.003,0.254,0.,0.254
46,0.006,0.,0.006,0.274,0.,0.274
47,0.003,0.,0.003,0.286,0.003,0.282
48,0.003,0.,0.003,0.285,0.,0.285
49,0.003,0.,0.003,0.312,0.,0.312
50,0.003,0.,0.003,0.327,0.003,0.323
51,0.004,0.,0.004,0.319,0.007,0.311
52,0.003,0.,0.003,0.331,0.,0.331
53,0.003,0.,0.003,0.347,0.011,0.335
54,0.003,0.,0.003,0.348,0.,0.348
55,0.004,0.,0.004,0.372,0.,0.372
56,0.003,0.,0.003,0.389,0.,0.389
57,0.004,0.,0.004,0.41,0.004,0.406
58,0.004,0.003,0.,0.415,0.,0.415
59,0.008,0.,0.008,0.431,0.,0.43
60,0.004,0.,0.004,0.463,0.,0.463
61,0.004,0.,0.004,0.48,0.,0.48
62,0.004,0.,0.004,0.497,0.,0.497
63,0.007,0.,0.007,0.533,0.,0.533
64,0.007,0.,0.007,0.533,0.,0.533
65,0.004,0.,0.004,0.568,0.003,0.564
66,0.004,0.,0.004,0.572,0.,0.572
67,0.004,0.,0.004,0.588,0.,0.588
68,0.006,0.,0.006,0.589,0.,0.589
69,0.007,0.,0.007,0.634,0.003,0.63
70,0.004,0.,0.004,0.669,0.003,0.664
71,0.004,0.,0.004,0.671,0.,0.671
72,0.004,0.,0.004,0.69,0.,0.69
73,0.004,0.,0.004,0.88,0.,0.88
74,0.005,0.,0.005,0.748,0.,0.748
75,0.005,0.,0.005,0.779,0.,0.778
76,0.005,0.,0.005,0.782,0.,0.782
77,0.005,0.,0.005,0.829,0.,0.829
78,0.004,0.,0.004,0.827,0.,0.827
79,0.005,0.,0.005,0.861,0.,0.86
80,0.005,0.,0.005,0.856,0.,0.856
81,0.005,0.,0.005,0.879,0.,0.879
82,0.005,0.,0.005,0.905,0.,0.904
83,0.005,0.,0.005,0.963,0.,0.963
84,0.005,0.,0.005,0.974,0.,0.974
85,0.006,0.,0.006,1.012,0.,1.012
86,0.006,0.,0.006,1.081,0.,1.081
87,0.007,0.,0.007,1.119,0.007,1.111
88,0.006,0.,0.006,1.221,0.,1.218
89,0.005,0.,0.005,1.161,0.,1.161
90,0.006,0.,0.006,1.356,0.,1.356
91,0.006,0.,0.006,1.199,0.,1.199
92,0.006,0.,0.006,1.238,0.,1.238
93,0.006,0.,0.006,1.241,0.,1.241
94,0.006,0.,0.006,1.269,0.,1.268
95,0.006,0.,0.006,1.316,0.003,1.312
96,0.006,0.,0.006,1.319,0.,1.319
97,0.006,0.,0.006,1.396,0.,1.395
98,0.006,0.,0.006,1.454,0.,1.454
99,0.006,0.,0.006,1.461,0.,1.461
100,0.006,0.,0.006,1.47,0.,1.47
110,0.006,0.,0.006,2.007,0.031,1.974
120,0.007,0.,0.007,2.215,0.003,2.211
130,0.009,0.,0.009,2.786,0.008,2.778
140,0.008,0.,0.008,3.383,0.008,3.374
